Sample                          mapping_A2_result_PAE_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         55332456
MappedFraction                  1
#MappedRead1                    28668191
#MappedRead2                    26664265
RatioMapped2vsMapped1           0.930099
#MappedForward                  27672737
MappedForwardFraction           0.500118
#MappedReverse                  27659719
MappedReverseFraction           0.499882
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          26750414
#MappedPairs                    26635969
MappedPairsFraction             0.995722
#MappedSameChr                  26635969
MappedSameChrFraction           0.995722
#MappedProperPair               18476603
MappedProperFraction            0.690703
#ReferenceBp                    6504659
#ReferenceNs                    0
#AlignedBases                   4097005390
#MatchedBases                   4092663822
MatchRate                       0.99894
#MismatchedBases                4341568
MismatchRate                    0.00105969
#DeletionsCigarD                117097
DeletionRate                    2.85811e-05
HomopolymerContextDel           0.201824
#InsertionsCigarI               1127470
InsertionRate                   0.000275194
HomopolymerContextIns           0.19456
#SoftClippedBases               2298166
SoftClipRate                    0.000560938
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00192441
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                443
MedianCoverage                  613
SDCoverage                      30.4404
CoveredBp                       6339883
FractionCovered                 0.974668
BpCov1ToCovNRatio               0.000203474
BpCov1ToCov2Ratio               2.13576
MedianMAPQ                      44
