Sample                          mapping_A2_result_coli_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         27979721
MappedFraction                  1
#MappedRead1                    14549638
#MappedRead2                    13430083
RatioMapped2vsMapped1           0.923053
#MappedForward                  13996727
MappedForwardFraction           0.500245
#MappedReverse                  13982994
MappedReverseFraction           0.499755
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          13476556
#MappedPairs                    13424893
MappedPairsFraction             0.996166
#MappedSameChr                  13424893
MappedSameChrFraction           0.996166
#MappedProperPair               9864145
MappedProperFraction            0.731949
#ReferenceBp                    4641652
#ReferenceNs                    0
#AlignedBases                   2070476818
#MatchedBases                   2068280270
MatchRate                       0.998939
#MismatchedBases                2196548
MismatchRate                    0.00106089
#DeletionsCigarD                57408
DeletionRate                    2.77269e-05
HomopolymerContextDel           0.218593
#InsertionsCigarI               555264
InsertionRate                   0.000268182
HomopolymerContextIns           0.339329
#SoftClippedBases               1131781
SoftClipRate                    0.000546628
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00190343
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                431
MedianCoverage                  429
SDCoverage                      24.4827
CoveredBp                       4637273
FractionCovered                 0.999057
BpCov1ToCovNRatio               5.82239e-06
BpCov1ToCov2Ratio               27
MedianMAPQ                      44
