Sample                          mapping_A2_result_kocuria_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         50333397
MappedFraction                  1
#MappedRead1                    26098218
#MappedRead2                    24235179
RatioMapped2vsMapped1           0.928614
#MappedForward                  25177421
MappedForwardFraction           0.500213
#MappedReverse                  25155976
MappedReverseFraction           0.499787
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          24276097
#MappedPairs                    24222934
MappedPairsFraction             0.99781
#MappedSameChr                  24222934
MappedSameChrFraction           0.99781
#MappedProperPair               16506213
MappedProperFraction            0.679937
#ReferenceBp                    2696980
#ReferenceNs                    0
#AlignedBases                   3719337370
#MatchedBases                   3715878367
MatchRate                       0.99907
#MismatchedBases                3459003
MismatchRate                    0.000930005
#DeletionsCigarD                102138
DeletionRate                    2.74613e-05
HomopolymerContextDel           0.299879
#InsertionsCigarI               1137722
InsertionRate                   0.000305894
HomopolymerContextIns           0.312846
#SoftClippedBases               2117685
SoftClipRate                    0.000569372
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00183273
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                446
MedianCoverage                  1267
SDCoverage                      78.3951
CoveredBp                       2696980
FractionCovered                 1
BpCov1ToCovNRatio               0
BpCov1ToCov2Ratio               0
MedianMAPQ                      44
