Sample                          mapping_A2_result_subtilis_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         17380370
MappedFraction                  1
#MappedRead1                    9029824
#MappedRead2                    8350546
RatioMapped2vsMapped1           0.924774
#MappedForward                  8691482
MappedForwardFraction           0.500075
#MappedReverse                  8688888
MappedReverseFraction           0.499925
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          8370343
#MappedPairs                    8347207
MappedPairsFraction             0.997236
#MappedSameChr                  8347207
MappedSameChrFraction           0.997236
#MappedProperPair               6215368
MappedProperFraction            0.742546
#ReferenceBp                    4215606
#ReferenceNs                    0
#AlignedBases                   1284729596
#MatchedBases                   1283489628
MatchRate                       0.999035
#MismatchedBases                1239968
MismatchRate                    0.000965159
#DeletionsCigarD                38754
DeletionRate                    3.01651e-05
HomopolymerContextDel           0.308123
#InsertionsCigarI               393518
InsertionRate                   0.000306304
HomopolymerContextIns           0.463986
#SoftClippedBases               672603
SoftClipRate                    0.000523537
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00182516
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                428
MedianCoverage                  293
SDCoverage                      28.0616
CoveredBp                       4086619
FractionCovered                 0.969403
BpCov1ToCovNRatio               0.000358976
BpCov1ToCov2Ratio               1.37876
MedianMAPQ                      44
