Sample                          mapping_B2_result_coli_sorted	Sample                          mapping_B2_result_subtilis_sorted	Sample                          mapping_B2_result_PAE_sorted	Sample                          mapping_B2_result_kocuria_sorted
Library                         DefaultLib	Library                         DefaultLib	Library                         DefaultLib	Library                         DefaultLib
#QCFail                         0	#QCFail                         0	#QCFail                         0	#QCFail                         0
QCFailFraction                  0	QCFailFraction                  0	QCFailFraction                  0	QCFailFraction                  0
#DuplicateMarked                0	#DuplicateMarked                0	#DuplicateMarked                0	#DuplicateMarked                0
DuplicateFraction               0	DuplicateFraction               0	DuplicateFraction               0	DuplicateFraction               0
#Unmapped                       0	#Unmapped                       0	#Unmapped                       0	#Unmapped                       0
UnmappedFraction                0	UnmappedFraction                0	UnmappedFraction                0	UnmappedFraction                0
#Mapped                         23421694	#Mapped                         10236939	#Mapped                         61283305	#Mapped                         40104087
MappedFraction                  1	MappedFraction                  1	MappedFraction                  1	MappedFraction                  1
#MappedRead1                    12219196	#MappedRead1                    5340084	#MappedRead1                    31813483	#MappedRead1                    20853149
#MappedRead2                    11202498	#MappedRead2                    4896855	#MappedRead2                    29469822	#MappedRead2                    19250938
RatioMapped2vsMapped1           0.916795	RatioMapped2vsMapped1           0.917	RatioMapped2vsMapped1           0.926331	RatioMapped2vsMapped1           0.923167
#MappedForward                  11714857	#MappedForward                  5119509	#MappedForward                  30643704	#MappedForward                  20062350
MappedForwardFraction           0.500171	MappedForwardFraction           0.500102	MappedForwardFraction           0.500033	MappedForwardFraction           0.500257
#MappedReverse                  11706837	#MappedReverse                  5117430	#MappedReverse                  30639601	#MappedReverse                  20041737
MappedReverseFraction           0.499829	MappedReverseFraction           0.499898	MappedReverseFraction           0.499967	MappedReverseFraction           0.499743
#SecondaryAlignments            0	#SecondaryAlignments            0	#SecondaryAlignments            0	#SecondaryAlignments            0
SecondaryAlignmentFraction      0	SecondaryAlignmentFraction      0	SecondaryAlignmentFraction      0	SecondaryAlignmentFraction      0
#SupplementaryAlignments        0	#SupplementaryAlignments        0	#SupplementaryAlignments        0	#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0	SupplementaryAlignmentFraction  0	SupplementaryAlignmentFraction  0	SupplementaryAlignmentFraction  0
#SplicedAlignments              0	#SplicedAlignments              0	#SplicedAlignments              0	#SplicedAlignments              0
SplicedAlignmentFraction        0	SplicedAlignmentFraction        0	SplicedAlignmentFraction        0	SplicedAlignmentFraction        0
#Pairs                          11248921	#Pairs                          4912150	#Pairs                          29558979	#Pairs                          19293346
#MappedPairs                    11196292	#MappedPairs                    4893882	#MappedPairs                    29435099	#MappedPairs                    19237660
MappedPairsFraction             0.995321	MappedPairsFraction             0.996281	MappedPairsFraction             0.995809	MappedPairsFraction             0.997114
#MappedSameChr                  11196292	#MappedSameChr                  4893882	#MappedSameChr                  29435099	#MappedSameChr                  19237660
MappedSameChrFraction           0.995321	MappedSameChrFraction           0.996281	MappedSameChrFraction           0.995809	MappedSameChrFraction           0.997114
#MappedProperPair               8533097	#MappedProperPair               3771542	#MappedProperPair               21293891	#MappedProperPair               13625147
MappedProperFraction            0.75857	MappedProperFraction            0.767799	MappedProperFraction            0.720387	MappedProperFraction            0.70621
#ReferenceBp                    4641652	#ReferenceBp                    4215606	#ReferenceBp                    6504659	#ReferenceBp                    2696980
#ReferenceNs                    0	#ReferenceNs                    0	#ReferenceNs                    0	#ReferenceNs                    0
#AlignedBases                   1731453506	#AlignedBases                   754368721	#AlignedBases                   4536009596	#AlignedBases                   2958455018
#MatchedBases                   1729554519	#MatchedBases                   753588341	#MatchedBases                   4531346322	#MatchedBases                   2955667198
MatchRate                       0.998903	MatchRate                       0.998966	MatchRate                       0.998972	MatchRate                       0.999058
#MismatchedBases                1898987	#MismatchedBases                780380	#MismatchedBases                4663274	#MismatchedBases                2787820
MismatchRate                    0.00109676	MismatchRate                    0.00103448	MismatchRate                    0.00102806	MismatchRate                    0.000942323
#DeletionsCigarD                47127	#DeletionsCigarD                23555	#DeletionsCigarD                126609	#DeletionsCigarD                82391
DeletionRate                    2.72182e-05	DeletionRate                    3.12248e-05	DeletionRate                    2.7912e-05	DeletionRate                    2.78493e-05
HomopolymerContextDel           0.223333	HomopolymerContextDel           0.304861	HomopolymerContextDel           0.193904	HomopolymerContextDel           0.299487
#InsertionsCigarI               478482	#InsertionsCigarI               261179	#InsertionsCigarI               1148845	#InsertionsCigarI               862974
InsertionRate                   0.000276347	InsertionRate                   0.000346222	InsertionRate                   0.000253272	InsertionRate                   0.000291698
HomopolymerContextIns           0.43814	HomopolymerContextIns           0.582279	HomopolymerContextIns           0.229017	HomopolymerContextIns           0.363994
#SoftClippedBases               1020129	#SoftClippedBases               477708	#SoftClippedBases               2614033	#SoftClippedBases               1919257
SoftClipRate                    0.000589175	SoftClipRate                    0.000633255	SoftClipRate                    0.000576285	SoftClipRate                    0.000648736
#HardClippedBases               0	#HardClippedBases               0	#HardClippedBases               0	#HardClippedBases               0
HardClipRate                    0	HardClipRate                    0	HardClipRate                    0	HardClipRate                    0
