Sample                          mapping_B2_result_PAE_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         61283305
MappedFraction                  1
#MappedRead1                    31813483
#MappedRead2                    29469822
RatioMapped2vsMapped1           0.926331
#MappedForward                  30643704
MappedForwardFraction           0.500033
#MappedReverse                  30639601
MappedReverseFraction           0.499967
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          29558979
#MappedPairs                    29435099
MappedPairsFraction             0.995809
#MappedSameChr                  29435099
MappedSameChrFraction           0.995809
#MappedProperPair               21293891
MappedProperFraction            0.720387
#ReferenceBp                    6504659
#ReferenceNs                    0
#AlignedBases                   4536009596
#MatchedBases                   4531346322
MatchRate                       0.998972
#MismatchedBases                4663274
MismatchRate                    0.00102806
#DeletionsCigarD                126609
DeletionRate                    2.7912e-05
HomopolymerContextDel           0.193904
#InsertionsCigarI               1148845
InsertionRate                   0.000253272
HomopolymerContextIns           0.229017
#SoftClippedBases               2614033
SoftClipRate                    0.000576285
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00188553
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                432
MedianCoverage                  665
SDCoverage                      38.7627
CoveredBp                       6340059
FractionCovered                 0.974695
BpCov1ToCovNRatio               0.000189588
BpCov1ToCov2Ratio               2.05822
MedianMAPQ                      44
