Sample                          mapping_B2_result_coli_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         23421694
MappedFraction                  1
#MappedRead1                    12219196
#MappedRead2                    11202498
RatioMapped2vsMapped1           0.916795
#MappedForward                  11714857
MappedForwardFraction           0.500171
#MappedReverse                  11706837
MappedReverseFraction           0.499829
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          11248921
#MappedPairs                    11196292
MappedPairsFraction             0.995321
#MappedSameChr                  11196292
MappedSameChrFraction           0.995321
#MappedProperPair               8533097
MappedProperFraction            0.75857
#ReferenceBp                    4641652
#ReferenceNs                    0
#AlignedBases                   1731453506
#MatchedBases                   1729554519
MatchRate                       0.998903
#MismatchedBases                1898987
MismatchRate                    0.00109676
#DeletionsCigarD                47127
DeletionRate                    2.72182e-05
HomopolymerContextDel           0.223333
#InsertionsCigarI               478482
InsertionRate                   0.000276347
HomopolymerContextIns           0.43814
#SoftClippedBases               1020129
SoftClipRate                    0.000589175
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.0019895
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                421
MedianCoverage                  352
SDCoverage                      28.589
CoveredBp                       4637248
FractionCovered                 0.999051
BpCov1ToCovNRatio               6.46935e-07
BpCov1ToCov2Ratio               3
MedianMAPQ                      44
