Sample                          mapping_B2_result_kocuria_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         40104087
MappedFraction                  1
#MappedRead1                    20853149
#MappedRead2                    19250938
RatioMapped2vsMapped1           0.923167
#MappedForward                  20062350
MappedForwardFraction           0.500257
#MappedReverse                  20041737
MappedReverseFraction           0.499743
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          19293346
#MappedPairs                    19237660
MappedPairsFraction             0.997114
#MappedSameChr                  19237660
MappedSameChrFraction           0.997114
#MappedProperPair               13625147
MappedProperFraction            0.70621
#ReferenceBp                    2696980
#ReferenceNs                    0
#AlignedBases                   2958455018
#MatchedBases                   2955667198
MatchRate                       0.999058
#MismatchedBases                2787820
MismatchRate                    0.000942323
#DeletionsCigarD                82391
DeletionRate                    2.78493e-05
HomopolymerContextDel           0.299487
#InsertionsCigarI               862974
InsertionRate                   0.000291698
HomopolymerContextIns           0.363994
#SoftClippedBases               1919257
SoftClipRate                    0.000648736
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00191061
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                434
MedianCoverage                  1012
SDCoverage                      84.7779
CoveredBp                       2696980
FractionCovered                 1
BpCov1ToCovNRatio               0
BpCov1ToCov2Ratio               -nan
MedianMAPQ                      44
