Sample                          mapping_B2_result_subtilis_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         10236939
MappedFraction                  1
#MappedRead1                    5340084
#MappedRead2                    4896855
RatioMapped2vsMapped1           0.917
#MappedForward                  5119509
MappedForwardFraction           0.500102
#MappedReverse                  5117430
MappedReverseFraction           0.499898
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          4912150
#MappedPairs                    4893882
MappedPairsFraction             0.996281
#MappedSameChr                  4893882
MappedSameChrFraction           0.996281
#MappedProperPair               3771542
MappedProperFraction            0.767799
#ReferenceBp                    4215606
#ReferenceNs                    0
#AlignedBases                   754368721
#MatchedBases                   753588341
MatchRate                       0.998966
#MismatchedBases                780380
MismatchRate                    0.00103448
#DeletionsCigarD                23555
DeletionRate                    3.12248e-05
HomopolymerContextDel           0.304861
#InsertionsCigarI               261179
InsertionRate                   0.000346222
HomopolymerContextIns           0.582279
#SoftClippedBases               477708
SoftClipRate                    0.000633255
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00204518
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                418
MedianCoverage                  162
SDCoverage                      64.008
CoveredBp                       4085126
FractionCovered                 0.969048
BpCov1ToCovNRatio               0.000402925
BpCov1ToCov2Ratio               1.73629
MedianMAPQ                      44
