Sample                          mapping_C3_result_PAE_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         6224229
MappedFraction                  1
#MappedRead1                    3282380
#MappedRead2                    2941849
RatioMapped2vsMapped1           0.896255
#MappedForward                  3112412
MappedForwardFraction           0.500048
#MappedReverse                  3111817
MappedReverseFraction           0.499952
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          3001364
#MappedPairs                    2930478
MappedPairsFraction             0.976382
#MappedSameChr                  2930478
MappedSameChrFraction           0.976382
#MappedProperPair               2369546
MappedProperFraction            0.78949
#ReferenceBp                    6504659
#ReferenceNs                    0
#AlignedBases                   458623055
#MatchedBases                   456874025
MatchRate                       0.996186
#MismatchedBases                1749030
MismatchRate                    0.00381365
#DeletionsCigarD                38270
DeletionRate                    8.34454e-05
HomopolymerContextDel           0.233995
#InsertionsCigarI               97514
InsertionRate                   0.000212623
HomopolymerContextIns           0.167904
#SoftClippedBases               485597
SoftClipRate                    0.00105882
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00516854
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                398
MedianCoverage                  62
SDCoverage                      31.6626
CoveredBp                       6338274
FractionCovered                 0.974421
BpCov1ToCovNRatio               0.000183015
BpCov1ToCov2Ratio               1.77642
MedianMAPQ                      44
