Sample                          mapping_C3_result_coli_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         29251749
MappedFraction                  1
#MappedRead1                    15212444
#MappedRead2                    14039305
RatioMapped2vsMapped1           0.922883
#MappedForward                  14633600
MappedForwardFraction           0.500264
#MappedReverse                  14618149
MappedReverseFraction           0.499736
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          14082670
#MappedPairs                    14019527
MappedPairsFraction             0.995516
#MappedSameChr                  14019527
MappedSameChrFraction           0.995516
#MappedProperPair               11676971
MappedProperFraction            0.829173
#ReferenceBp                    4641652
#ReferenceNs                    0
#AlignedBases                   2170071027
#MatchedBases                   2167886601
MatchRate                       0.998993
#MismatchedBases                2184426
MismatchRate                    0.00100661
#DeletionsCigarD                83796
DeletionRate                    3.86144e-05
HomopolymerContextDel           0.253389
#InsertionsCigarI               353393
InsertionRate                   0.000162849
HomopolymerContextIns           0.246697
#SoftClippedBases               907806
SoftClipRate                    0.00041833
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00162641
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                390
MedianCoverage                  442
SDCoverage                      26.999
CoveredBp                       4637255
FractionCovered                 0.999053
BpCov1ToCovNRatio               8.62579e-07
BpCov1ToCov2Ratio               0.571429
MedianMAPQ                      44
