Sample                          mapping_C3_result_kocuria_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         1954615
MappedFraction                  1
#MappedRead1                    1049423
#MappedRead2                    905192
RatioMapped2vsMapped1           0.862562
#MappedForward                  975357
MappedForwardFraction           0.499002
#MappedReverse                  979258
MappedReverseFraction           0.500998
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          940014
#MappedPairs                    901431
MappedPairsFraction             0.958955
#MappedSameChr                  901431
MappedSameChrFraction           0.958955
#MappedProperPair               724771
MappedProperFraction            0.771021
#ReferenceBp                    2696980
#ReferenceNs                    0
#AlignedBases                   142881259
#MatchedBases                   141962028
MatchRate                       0.993566
#MismatchedBases                919231
MismatchRate                    0.00643353
#DeletionsCigarD                22219
DeletionRate                    0.000155507
HomopolymerContextDel           0.135965
#InsertionsCigarI               38257
InsertionRate                   0.000267754
HomopolymerContextIns           0.221476
#SoftClippedBases               233001
SoftClipRate                    0.00163073
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00848752
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                401
MedianCoverage                  44
SDCoverage                      62.7365
CoveredBp                       2696974
FractionCovered                 0.999998
BpCov1ToCovNRatio               7.41572e-06
BpCov1ToCov2Ratio               0.952381
MedianMAPQ                      44
