Sample                          mapping_C3_result_subtilis_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         70375564
MappedFraction                  1
#MappedRead1                    36501631
#MappedRead2                    33873933
RatioMapped2vsMapped1           0.928011
#MappedForward                  35189510
MappedForwardFraction           0.500025
#MappedReverse                  35186054
MappedReverseFraction           0.499975
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          33909199
#MappedPairs                    33850528
MappedPairsFraction             0.99827
#MappedSameChr                  33850528
MappedSameChrFraction           0.99827
#MappedProperPair               28247459
MappedProperFraction            0.833032
#ReferenceBp                    4215606
#ReferenceNs                    0
#AlignedBases                   5218746534
#MatchedBases                   5214842345
MatchRate                       0.999252
#MismatchedBases                3904189
MismatchRate                    0.000748109
#DeletionsCigarD                188250
DeletionRate                    3.60719e-05
HomopolymerContextDel           0.404494
#InsertionsCigarI               834103
InsertionRate                   0.000159828
HomopolymerContextIns           0.330575
#SoftClippedBases               1871848
SoftClipRate                    0.000358678
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00130269
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                388
MedianCoverage                  1224
SDCoverage                      45.4747
CoveredBp                       4088463
FractionCovered                 0.96984
BpCov1ToCovNRatio               0.000160696
BpCov1ToCov2Ratio               1.23034
MedianMAPQ                      44
