Sample                          mapping_D3_result_coli_sorted	Sample                          mapping_D3_result_subtilis_sorted	Sample                          mapping_D3_result_PAE_sorted	Sample                          mapping_D3_result_kocuria_sorted
Library                         DefaultLib	Library                         DefaultLib	Library                         DefaultLib	Library                         DefaultLib
#QCFail                         0	#QCFail                         0	#QCFail                         0	#QCFail                         0
QCFailFraction                  0	QCFailFraction                  0	QCFailFraction                  0	QCFailFraction                  0
#DuplicateMarked                0	#DuplicateMarked                0	#DuplicateMarked                0	#DuplicateMarked                0
DuplicateFraction               0	DuplicateFraction               0	DuplicateFraction               0	DuplicateFraction               0
#Unmapped                       0	#Unmapped                       0	#Unmapped                       0	#Unmapped                       0
UnmappedFraction                0	UnmappedFraction                0	UnmappedFraction                0	UnmappedFraction                0
#Mapped                         26539575	#Mapped                         98767816	#Mapped                         2305498	#Mapped                         509028
MappedFraction                  1	MappedFraction                  1	MappedFraction                  1	MappedFraction                  1
#MappedRead1                    13754756	#MappedRead1                    51010775	#MappedRead1                    1261162	#MappedRead1                    310997
#MappedRead2                    12784819	#MappedRead2                    47757041	#MappedRead2                    1044336	#MappedRead2                    198031
RatioMapped2vsMapped1           0.929484	RatioMapped2vsMapped1           0.936215	RatioMapped2vsMapped1           0.828074	RatioMapped2vsMapped1           0.636762
#MappedForward                  13275957	#MappedForward                  49399009	#MappedForward                  1151564	#MappedForward                  252603
MappedForwardFraction           0.500232	MappedForwardFraction           0.500153	MappedForwardFraction           0.499486	MappedForwardFraction           0.496246
#MappedReverse                  13263618	#MappedReverse                  49368807	#MappedReverse                  1153934	#MappedReverse                  256425
MappedReverseFraction           0.499768	MappedReverseFraction           0.499847	MappedReverseFraction           0.500514	MappedReverseFraction           0.503754
#SecondaryAlignments            0	#SecondaryAlignments            0	#SecondaryAlignments            0	#SecondaryAlignments            0
SecondaryAlignmentFraction      0	SecondaryAlignmentFraction      0	SecondaryAlignmentFraction      0	SecondaryAlignmentFraction      0
#SupplementaryAlignments        0	#SupplementaryAlignments        0	#SupplementaryAlignments        0	#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0	SupplementaryAlignmentFraction  0	SupplementaryAlignmentFraction  0	SupplementaryAlignmentFraction  0
#SplicedAlignments              0	#SplicedAlignments              0	#SplicedAlignments              0	#SplicedAlignments              0
SplicedAlignmentFraction        0	SplicedAlignmentFraction        0	SplicedAlignmentFraction        0	SplicedAlignmentFraction        0
#Pairs                          12837901	#Pairs                          47795752	#Pairs                          1115509	#Pairs                          245244
