Sample                          mapping_D3_result_PAE_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         2305498
MappedFraction                  1
#MappedRead1                    1261162
#MappedRead2                    1044336
RatioMapped2vsMapped1           0.828074
#MappedForward                  1151564
MappedForwardFraction           0.499486
#MappedReverse                  1153934
MappedReverseFraction           0.500514
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          1115509
#MappedPairs                    1037357
MappedPairsFraction             0.929941
#MappedSameChr                  1037357
MappedSameChrFraction           0.929941
#MappedProperPair               730851
MappedProperFraction            0.655173
#ReferenceBp                    6504659
#ReferenceNs                    0
#AlignedBases                   166761066
#MatchedBases                   165022337
MatchRate                       0.989574
#MismatchedBases                1738729
MismatchRate                    0.0104265
#DeletionsCigarD                31913
DeletionRate                    0.00019137
HomopolymerContextDel           0.196252
#InsertionsCigarI               57356
InsertionRate                   0.000343941
HomopolymerContextIns           0.152486
#SoftClippedBases               441108
SoftClipRate                    0.00264515
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.0136069
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                440
MedianCoverage                  18
SDCoverage                      54.2966
CoveredBp                       6336869
FractionCovered                 0.974205
BpCov1ToCovNRatio               0.000739324
BpCov1ToCov2Ratio               0.374112
MedianMAPQ                      44
