Sample                          mapping_D3_result_coli_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         26539575
MappedFraction                  1
#MappedRead1                    13754756
#MappedRead2                    12784819
RatioMapped2vsMapped1           0.929484
#MappedForward                  13275957
MappedForwardFraction           0.500232
#MappedReverse                  13263618
MappedReverseFraction           0.499768
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          12837901
#MappedPairs                    12778616
MappedPairsFraction             0.995382
#MappedSameChr                  12778616
MappedSameChrFraction           0.995382
#MappedProperPair               9342040
MappedProperFraction            0.727692
#ReferenceBp                    4641652
#ReferenceNs                    0
#AlignedBases                   1965318597
#MatchedBases                   1963014441
MatchRate                       0.998828
#MismatchedBases                2304156
MismatchRate                    0.00117241
#DeletionsCigarD                78003
DeletionRate                    3.96897e-05
HomopolymerContextDel           0.167968
#InsertionsCigarI               506226
InsertionRate                   0.00025758
HomopolymerContextIns           0.247947
#SoftClippedBases               1203470
SoftClipRate                    0.000612354
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00208203
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                434
MedianCoverage                  401
SDCoverage                      25.6627
CoveredBp                       4637251
FractionCovered                 0.999052
BpCov1ToCovNRatio               6.46935e-07
BpCov1ToCov2Ratio               1.5
MedianMAPQ                      44
