Sample                          mapping_D3_result_kocuria_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         509028
MappedFraction                  1
#MappedRead1                    310997
#MappedRead2                    198031
RatioMapped2vsMapped1           0.636762
#MappedForward                  252603
MappedForwardFraction           0.496246
#MappedReverse                  256425
MappedReverseFraction           0.503754
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          245244
#MappedPairs                    194661
MappedPairsFraction             0.793744
#MappedSameChr                  194661
MappedSameChrFraction           0.793744
#MappedProperPair               141525
MappedProperFraction            0.577078
#ReferenceBp                    2696980
#ReferenceNs                    0
#AlignedBases                   35237356
#MatchedBases                   34141053
MatchRate                       0.968888
#MismatchedBases                1096303
MismatchRate                    0.031112
#DeletionsCigarD                22948
DeletionRate                    0.000651241
HomopolymerContextDel           0.0640579
#InsertionsCigarI               20246
InsertionRate                   0.000574561
HomopolymerContextIns           0.0959696
#SoftClippedBases               237346
SoftClipRate                    0.00673564
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.0390734
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                432
MedianCoverage                  7
SDCoverage                      158.655
CoveredBp                       2675892
FractionCovered                 0.992181
BpCov1ToCovNRatio               0.0285841
BpCov1ToCov2Ratio               0.494377
MedianMAPQ                      44
