Sample                          mapping_D3_result_subtilis_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         98767816
MappedFraction                  1
#MappedRead1                    51010775
#MappedRead2                    47757041
RatioMapped2vsMapped1           0.936215
#MappedForward                  49399009
MappedForwardFraction           0.500153
#MappedReverse                  49368807
MappedReverseFraction           0.499847
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          47795752
#MappedPairs                    47749429
MappedPairsFraction             0.999031
#MappedSameChr                  47749429
MappedSameChrFraction           0.999031
#MappedProperPair               35127611
MappedProperFraction            0.734953
#ReferenceBp                    4215606
#ReferenceNs                    0
#AlignedBases                   7315132218
#MatchedBases                   7309501989
MatchRate                       0.99923
#MismatchedBases                5630229
MismatchRate                    0.000769669
#DeletionsCigarD                219094
DeletionRate                    2.99508e-05
HomopolymerContextDel           0.338727
#InsertionsCigarI               1868484
InsertionRate                   0.000255427
HomopolymerContextIns           0.338587
#SoftClippedBases               3684890
SoftClipRate                    0.000503735
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00155878
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                432
MedianCoverage                  1727
SDCoverage                      52.3249
CoveredBp                       4088751
FractionCovered                 0.969908
BpCov1ToCovNRatio               5.74748e-05
BpCov1ToCov2Ratio               0.667614
MedianMAPQ                      44
