Sample                          mapping_F2_result_PAE_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         3333528
MappedFraction                  1
#MappedRead1                    1965250
#MappedRead2                    1368278
RatioMapped2vsMapped1           0.696236
#MappedForward                  1667961
MappedForwardFraction           0.500359
#MappedReverse                  1665567
MappedReverseFraction           0.499641
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          1378813
#MappedPairs                    1357441
MappedPairsFraction             0.9845
#MappedSameChr                  1357441
MappedSameChrFraction           0.9845
#MappedProperPair               985047
MappedProperFraction            0.714417
#ReferenceBp                    6504659
#ReferenceNs                    0
#AlignedBases                   234561640
#MatchedBases                   234046958
MatchRate                       0.997806
#MismatchedBases                514682
MismatchRate                    0.00219423
#DeletionsCigarD                18390
DeletionRate                    7.84016e-05
HomopolymerContextDel           0.185971
#InsertionsCigarI               72081
InsertionRate                   0.000307301
HomopolymerContextIns           0.460177
#SoftClippedBases               637614
SoftClipRate                    0.00271832
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00529825
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                403
MedianCoverage                  30
SDCoverage                      16.6398
CoveredBp                       6337565
FractionCovered                 0.974312
BpCov1ToCovNRatio               0.00020844
BpCov1ToCov2Ratio               1.37175
MedianMAPQ                      44
