Sample                          mapping_F2_result_coli_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         11376250
MappedFraction                  1
#MappedRead1                    7921677
#MappedRead2                    3454573
RatioMapped2vsMapped1           0.436091
#MappedForward                  6176771
MappedForwardFraction           0.542953
#MappedReverse                  5199479
MappedReverseFraction           0.457047
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          3537833
#MappedPairs                    3351133
MappedPairsFraction             0.947228
#MappedSameChr                  3351133
MappedSameChrFraction           0.947228
#MappedProperPair               2199701
MappedProperFraction            0.621765
#ReferenceBp                    4641652
#ReferenceNs                    0
#AlignedBases                   555171227
#MatchedBases                   553796572
MatchRate                       0.997524
#MismatchedBases                1374655
MismatchRate                    0.00247609
#DeletionsCigarD                27074
DeletionRate                    4.87669e-05
HomopolymerContextDel           0.147005
#InsertionsCigarI               201326
InsertionRate                   0.000362638
HomopolymerContextIns           0.568645
#SoftClippedBases               9849047
SoftClipRate                    0.0177406
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.0206281
MedianReadLength                63:75
DefaultLibraryLayout            2
MedianInsertSize                352
MedianCoverage                  54
SDCoverage                      67.7178
CoveredBp                       4637244
FractionCovered                 0.99905
BpCov1ToCovNRatio               1.50952e-06
BpCov1ToCov2Ratio               0.241379
MedianMAPQ                      36
