Sample                          mapping_F2_result_kocuria_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         2549727
MappedFraction                  1
#MappedRead1                    1513567
#MappedRead2                    1036160
RatioMapped2vsMapped1           0.684582
#MappedForward                  1275519
MappedForwardFraction           0.500257
#MappedReverse                  1274208
MappedReverseFraction           0.499743
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          1043155
#MappedPairs                    1026908
MappedPairsFraction             0.984425
#MappedSameChr                  1026908
MappedSameChrFraction           0.984425
#MappedProperPair               746496
MappedProperFraction            0.715614
#ReferenceBp                    2696980
#ReferenceNs                    0
#AlignedBases                   178339925
#MatchedBases                   177960096
MatchRate                       0.99787
#MismatchedBases                379829
MismatchRate                    0.0021298
#DeletionsCigarD                15541
DeletionRate                    8.71426e-05
HomopolymerContextDel           0.243614
#InsertionsCigarI               70692
InsertionRate                   0.000396389
HomopolymerContextIns           0.603166
#SoftClippedBases               540174
SoftClipRate                    0.0030289
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00564224
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                400
MedianCoverage                  55
SDCoverage                      41.8282
CoveredBp                       2696975
FractionCovered                 0.999998
BpCov1ToCovNRatio               1.77977e-05
BpCov1ToCov2Ratio               0.657534
MedianMAPQ                      44
