Sample                          mapping_F2_result_subtilis_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         48676749
MappedFraction                  1
#MappedRead1                    32176618
#MappedRead2                    16500131
RatioMapped2vsMapped1           0.512799
#MappedForward                  23631438
MappedForwardFraction           0.485477
#MappedReverse                  25045311
MappedReverseFraction           0.514523
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          17366454
#MappedPairs                    15305888
MappedPairsFraction             0.881348
#MappedSameChr                  15305888
MappedSameChrFraction           0.881348
#MappedProperPair               6563395
MappedProperFraction            0.377935
#ReferenceBp                    4215606
#ReferenceNs                    0
#AlignedBases                   2176258480
#MatchedBases                   2161089940
MatchRate                       0.99303
#MismatchedBases                15168540
MismatchRate                    0.00697001
#DeletionsCigarD                634901
DeletionRate                    0.00029174
HomopolymerContextDel           0.0842698
#InsertionsCigarI               2759596
InsertionRate                   0.00126805
HomopolymerContextIns           0.854424
#SoftClippedBases               53169835
SoftClipRate                    0.0244318
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.0329616
MedianReadLength                65:70
DefaultLibraryLayout            2
MedianInsertSize                162
MedianCoverage                  118
SDCoverage                      97.5956
CoveredBp                       4085802
FractionCovered                 0.969209
BpCov1ToCovNRatio               0.000356601
BpCov1ToCov2Ratio               1.76392
MedianMAPQ                      24
