Sample                          mapping_N2_result_PAE_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         57828063
MappedFraction                  1
#MappedRead1                    57828063
#MappedRead2                    0
RatioMapped2vsMapped1           0
#MappedForward                  28909729
MappedForwardFraction           0.499926
#MappedReverse                  28918334
MappedReverseFraction           0.500074
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          0
#MappedPairs                    0
MappedPairsFraction             0
#MappedSameChr                  0
MappedSameChrFraction           0
#MappedProperPair               0
MappedProperFraction            0
#ReferenceBp                    6504659
#ReferenceNs                    0
#AlignedBases                   4292566421
#MatchedBases                   4286924435
MatchRate                       0.998686
#MismatchedBases                5641986
MismatchRate                    0.00131436
#DeletionsCigarD                127025
DeletionRate                    2.95919e-05
HomopolymerContextDel           0.206085
#InsertionsCigarI               369044
InsertionRate                   8.59728e-05
HomopolymerContextIns           0.480059
#SoftClippedBases               0
SoftClipRate                    0
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00142993
MedianReadLength                76
DefaultLibraryLayout            0
MedianInsertSize                0
MedianCoverage                  638
SDCoverage                      36.9924
CoveredBp                       6335763
FractionCovered                 0.974035
BpCov1ToCovNRatio               4.79816e-05
BpCov1ToCov2Ratio               1.75723
MedianMAPQ                      42
