Sample                          mapping_N4_result_coli_sorted	Sample                          mapping_N4_result_subtilis_sorted	Sample                          mapping_N4_result_PAE_sorted	Sample                          mapping_N4_result_kocuria_sorted
Library                         DefaultLib	Library                         DefaultLib	Library                         DefaultLib	Library                         DefaultLib
#QCFail                         0	#QCFail                         0	#QCFail                         0	#QCFail                         0
QCFailFraction                  0	QCFailFraction                  0	QCFailFraction                  0	QCFailFraction                  0
#DuplicateMarked                0	#DuplicateMarked                0	#DuplicateMarked                0	#DuplicateMarked                0
DuplicateFraction               0	DuplicateFraction               0	DuplicateFraction               0	DuplicateFraction               0
#Unmapped                       0	#Unmapped                       0	#Unmapped                       0	#Unmapped                       0
UnmappedFraction                0	UnmappedFraction                0	UnmappedFraction                0	UnmappedFraction                0
#Mapped                         19148140	#Mapped                         105264187	#Mapped                         828580	#Mapped                         283845
MappedFraction                  1	MappedFraction                  1	MappedFraction                  1	MappedFraction                  1
#MappedRead1                    19148140	#MappedRead1                    105264187	#MappedRead1                    828580	#MappedRead1                    182740
#MappedRead2                    0	#MappedRead2                    0	#MappedRead2                    0	#MappedRead2                    101105
RatioMapped2vsMapped1           0	RatioMapped2vsMapped1           0	RatioMapped2vsMapped1           0	RatioMapped2vsMapped1           0.553272
#MappedForward                  9571507	#MappedForward                  52633026	#MappedForward                  414050	#MappedForward                  140475
MappedForwardFraction           0.499866	MappedForwardFraction           0.500009	MappedForwardFraction           0.49971	MappedForwardFraction           0.4949
#MappedReverse                  9576633	#MappedReverse                  52631161	#MappedReverse                  414530	#MappedReverse                  143370
MappedReverseFraction           0.500134	MappedReverseFraction           0.499991	MappedReverseFraction           0.50029	MappedReverseFraction           0.5051
#SecondaryAlignments            0	#SecondaryAlignments            0	#SecondaryAlignments            0	#SecondaryAlignments            0
SecondaryAlignmentFraction      0	SecondaryAlignmentFraction      0	SecondaryAlignmentFraction      0	SecondaryAlignmentFraction      0
