Sample                          mapping_N6_result_coli_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         13479867
MappedFraction                  1
#MappedRead1                    13479867
#MappedRead2                    0
RatioMapped2vsMapped1           0
#MappedForward                  6739097
MappedForwardFraction           0.499938
#MappedReverse                  6740770
MappedReverseFraction           0.500062
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          0
#MappedPairs                    0
MappedPairsFraction             0
#MappedSameChr                  0
MappedSameChrFraction           0
#MappedProperPair               0
MappedProperFraction            0
#ReferenceBp                    4641652
#ReferenceNs                    0
#AlignedBases                   1005738922
#MatchedBases                   1004507172
MatchRate                       0.998775
#MismatchedBases                1231750
MismatchRate                    0.00122472
#DeletionsCigarD                27149
DeletionRate                    2.69941e-05
HomopolymerContextDel           0.25128
#InsertionsCigarI               96984
InsertionRate                   9.64306e-05
HomopolymerContextIns           0.617133
#SoftClippedBases               0
SoftClipRate                    0
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00134815
MedianReadLength                76
DefaultLibraryLayout            0
MedianInsertSize                0
MedianCoverage                  210
SDCoverage                      19.2001
CoveredBp                       4637311
FractionCovered                 0.999065
BpCov1ToCovNRatio               1.5095e-06
BpCov1ToCov2Ratio               3.5
MedianMAPQ                      42
