Sample                          mapping_N6_result_kocuria_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         52170620
MappedFraction                  1
#MappedRead1                    27432750
#MappedRead2                    24737870
RatioMapped2vsMapped1           0.901764
#MappedForward                  26096705
MappedForwardFraction           0.500218
#MappedReverse                  26073915
MappedReverseFraction           0.499782
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          24840219
#MappedPairs                    24689755
MappedPairsFraction             0.993943
#MappedSameChr                  24689755
MappedSameChrFraction           0.993943
#MappedProperPair               19753009
MappedProperFraction            0.795203
#ReferenceBp                    2696980
#ReferenceNs                    0
#AlignedBases                   3821113837
#MatchedBases                   3817636386
MatchRate                       0.99909
#MismatchedBases                3477451
MismatchRate                    0.000910062
#DeletionsCigarD                95576
DeletionRate                    2.50126e-05
HomopolymerContextDel           0.329915
#InsertionsCigarI               788145
InsertionRate                   0.000206261
HomopolymerContextIns           0.376844
#SoftClippedBases               2034346
SoftClipRate                    0.000532396
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00167373
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                409
MedianCoverage                  1335
SDCoverage                      71.9917
CoveredBp                       2696980
FractionCovered                 1
BpCov1ToCovNRatio               1.11236e-06
BpCov1ToCov2Ratio               1.5
MedianMAPQ                      44
