Sample                          mapping_N6_result_subtilis_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         7269786
MappedFraction                  1
#MappedRead1                    7269786
#MappedRead2                    0
RatioMapped2vsMapped1           0
#MappedForward                  3634261
MappedForwardFraction           0.499913
#MappedReverse                  3635525
MappedReverseFraction           0.500087
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          0
#MappedPairs                    0
MappedPairsFraction             0
#MappedSameChr                  0
MappedSameChrFraction           0
#MappedProperPair               0
MappedProperFraction            0
#ReferenceBp                    4215606
#ReferenceNs                    0
#AlignedBases                   541917244
#MatchedBases                   541250844
MatchRate                       0.99877
#MismatchedBases                666400
MismatchRate                    0.00122971
#DeletionsCigarD                16286
DeletionRate                    3.00526e-05
HomopolymerContextDel           0.353739
#InsertionsCigarI               80312
InsertionRate                   0.0001482
HomopolymerContextIns           0.753524
#SoftClippedBases               0
SoftClipRate                    0
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00140796
MedianReadLength                76
DefaultLibraryLayout            0
MedianInsertSize                0
MedianCoverage                  122
SDCoverage                      21.3541
CoveredBp                       4082229
FractionCovered                 0.968361
BpCov1ToCovNRatio               3.16004e-05
BpCov1ToCov2Ratio               1.5
MedianMAPQ                      42
