Sample                          mapping_ctrl_result_coli_sorted	Sample                          mapping_ctrl_result_subtilis_sorted	Sample                          mapping_ctrl_result_PAE_sorted	Sample                          mapping_ctrl_result_kocuria_sorted
Library                         DefaultLib	Library                         DefaultLib	Library                         DefaultLib	Library                         DefaultLib
#QCFail                         0	#QCFail                         0	#QCFail                         0	#QCFail                         0
QCFailFraction                  0	QCFailFraction                  0	QCFailFraction                  0	QCFailFraction                  0
#DuplicateMarked                0	#DuplicateMarked                0	#DuplicateMarked                0	#DuplicateMarked                0
DuplicateFraction               0	DuplicateFraction               0	DuplicateFraction               0	DuplicateFraction               0
#Unmapped                       0	#Unmapped                       0	#Unmapped                       0	#Unmapped                       0
UnmappedFraction                0	UnmappedFraction                0	UnmappedFraction                0	UnmappedFraction                0
#Mapped                         30520646	#Mapped                         44717330	#Mapped                         37432750	#Mapped                         21123014
MappedFraction                  1	MappedFraction                  1	MappedFraction                  1	MappedFraction                  1
#MappedRead1                    30520646	#MappedRead1                    44717330	#MappedRead1                    37432750	#MappedRead1                    11152042
#MappedRead2                    0	#MappedRead2                    0	#MappedRead2                    0	#MappedRead2                    9970972
RatioMapped2vsMapped1           0	RatioMapped2vsMapped1           0	RatioMapped2vsMapped1           0	RatioMapped2vsMapped1           0.894094
#MappedForward                  15261702	#MappedForward                  22354747	#MappedForward                  18716375	#MappedForward                  10562384
MappedForwardFraction           0.500045	MappedForwardFraction           0.499912	MappedForwardFraction           0.5	MappedForwardFraction           0.500042
#MappedReverse                  15258944	#MappedReverse                  22362583	#MappedReverse                  18716375	#MappedReverse                  10560630
MappedReverseFraction           0.499955	MappedReverseFraction           0.500088	MappedReverseFraction           0.5	MappedReverseFraction           0.499958
#SecondaryAlignments            0	#SecondaryAlignments            0	#SecondaryAlignments            0	#SecondaryAlignments            0
SecondaryAlignmentFraction      0	SecondaryAlignmentFraction      0	SecondaryAlignmentFraction      0	SecondaryAlignmentFraction      0
#SupplementaryAlignments        0	#SupplementaryAlignments        0	#SupplementaryAlignments        0	#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0	SupplementaryAlignmentFraction  0	SupplementaryAlignmentFraction  0	SupplementaryAlignmentFraction  0
#SplicedAlignments              0	#SplicedAlignments              0	#SplicedAlignments              0	#SplicedAlignments              0
SplicedAlignmentFraction        0	SplicedAlignmentFraction        0	SplicedAlignmentFraction        0	SplicedAlignmentFraction        0
#Pairs                          0	#Pairs                          0	#Pairs                          0	#Pairs                          10051904
#MappedPairs                    0	#MappedPairs                    0	#MappedPairs                    0	#MappedPairs                    9923005
MappedPairsFraction             0	MappedPairsFraction             0	MappedPairsFraction             0	MappedPairsFraction             0.987177
#MappedSameChr                  0	#MappedSameChr                  0	#MappedSameChr                  0	#MappedSameChr                  9923005
MappedSameChrFraction           0	MappedSameChrFraction           0	MappedSameChrFraction           0	MappedSameChrFraction           0.987177
#MappedProperPair               0	#MappedProperPair               0	#MappedProperPair               0	#MappedProperPair               8534027
MappedProperFraction            0	MappedProperFraction            0	MappedProperFraction            0	MappedProperFraction            0.848996
#ReferenceBp                    4641652	#ReferenceBp                    4215606	#ReferenceBp                    6504659	#ReferenceBp                    2696980
#ReferenceNs                    0	#ReferenceNs                    0	#ReferenceNs                    0	#ReferenceNs                    0
#AlignedBases                   2279734511	#AlignedBases                   3338352189	#AlignedBases                   2782568571	#AlignedBases                   1550995436
#MatchedBases                   2277550080	#MatchedBases                   3335666513	#MatchedBases                   2779398604	#MatchedBases                   1548923110
MatchRate                       0.999042	MatchRate                       0.999196	MatchRate                       0.998861	MatchRate                       0.998664
#MismatchedBases                2184431	#MismatchedBases                2685676	#MismatchedBases                3169967	#MismatchedBases                2072326
MismatchRate                    0.000958195	MismatchRate                    0.000804492	MismatchRate                    0.00113922	MismatchRate                    0.00133613
#DeletionsCigarD                43513	#DeletionsCigarD                69863	#DeletionsCigarD                58932	#DeletionsCigarD                48205
DeletionRate                    1.90869e-05	DeletionRate                    2.09274e-05	DeletionRate                    2.1179e-05	DeletionRate                    3.108e-05
HomopolymerContextDel           0.236067	HomopolymerContextDel           0.356083	HomopolymerContextDel           0.24211	HomopolymerContextDel           0.246406
#InsertionsCigarI               13580	#InsertionsCigarI               21660	#InsertionsCigarI               21602	#InsertionsCigarI               224556
InsertionRate                   5.95683e-06	InsertionRate                   6.48823e-06	InsertionRate                   7.76333e-06	InsertionRate                   0.000144782
HomopolymerContextIns           0.258984	HomopolymerContextIns           0.457618	HomopolymerContextIns           0.34469	HomopolymerContextIns           0.275072
#SoftClippedBases               0	#SoftClippedBases               0	#SoftClippedBases               0	#SoftClippedBases               690385
SoftClipRate                    0	SoftClipRate                    0	SoftClipRate                    0	SoftClipRate                    0.000445124
#HardClippedBases               0	#HardClippedBases               0	#HardClippedBases               0	#HardClippedBases               0
HardClipRate                    0	HardClipRate                    0	HardClipRate                    0	HardClipRate                    0
ErrorRate                       0.000983239	ErrorRate                       0.000831907	ErrorRate                       0.00116817	ErrorRate                       0.00195711
MedianReadLength                76	MedianReadLength                76	MedianReadLength                76	MedianReadLength                76:76
DefaultLibraryLayout            0	DefaultLibraryLayout            0	DefaultLibraryLayout            0	DefaultLibraryLayout            2
MedianInsertSize                0	MedianInsertSize                0	MedianInsertSize                0	MedianInsertSize                397
MedianCoverage                  487	MedianCoverage                  812	MedianCoverage                  434	MedianCoverage                  570
SDCoverage                      13.609	SDCoverage                      27.4284	SDCoverage                      18.1161	SDCoverage                      26.8041
CoveredBp                       4637460	CoveredBp                       4082942	CoveredBp                       6335742	CoveredBp                       2696962
FractionCovered                 0.999097	FractionCovered                 0.96853	FractionCovered                 0.974031	FractionCovered                 0.999993
BpCov1ToCovNRatio               3.34235e-05	BpCov1ToCovNRatio               8.27834e-05	BpCov1ToCovNRatio               6.21869e-05	BpCov1ToCovNRatio               0
BpCov1ToCov2Ratio               inf	BpCov1ToCov2Ratio               2.23841	BpCov1ToCov2Ratio               2.03093	BpCov1ToCov2Ratio               -nan
MedianMAPQ                      42	MedianMAPQ                      42	MedianMAPQ                      42	MedianMAPQ                      44
