Sample                          mapping_ctrl2_result_PAE_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         45338007
MappedFraction                  1
#MappedRead1                    23523471
#MappedRead2                    21814536
RatioMapped2vsMapped1           0.927352
#MappedForward                  22676706
MappedForwardFraction           0.50017
#MappedReverse                  22661301
MappedReverseFraction           0.49983
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          21907442
#MappedPairs                    21794402
MappedPairsFraction             0.99484
#MappedSameChr                  21794402
MappedSameChrFraction           0.99484
#MappedProperPair               16252381
MappedProperFraction            0.741866
#ReferenceBp                    6504659
#ReferenceNs                    0
#AlignedBases                   3362648661
#MatchedBases                   3358666309
MatchRate                       0.998816
#MismatchedBases                3982352
MismatchRate                    0.00118429
#DeletionsCigarD                96788
DeletionRate                    2.87833e-05
HomopolymerContextDel           0.199085
#InsertionsCigarI               824667
InsertionRate                   0.000245243
HomopolymerContextIns           0.1579
#SoftClippedBases               1553585
SoftClipRate                    0.000462012
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00192033
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                434
MedianCoverage                  522
SDCoverage                      18.5614
CoveredBp                       6339729
FractionCovered                 0.974644
BpCov1ToCovNRatio               0.000156158
BpCov1ToCov2Ratio               2.03285
MedianMAPQ                      44
