Sample                          mapping_ctrl2_result_coli_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         32294537
MappedFraction                  1
#MappedRead1                    16791579
#MappedRead2                    15502958
RatioMapped2vsMapped1           0.923258
#MappedForward                  16155037
MappedForwardFraction           0.500241
#MappedReverse                  16139500
MappedReverseFraction           0.499759
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          15565457
#MappedPairs                    15497456
MappedPairsFraction             0.995631
#MappedSameChr                  15497456
MappedSameChrFraction           0.995631
#MappedProperPair               12214731
MappedProperFraction            0.784733
#ReferenceBp                    4641652
#ReferenceNs                    0
#AlignedBases                   2395371999
#MatchedBases                   2392637188
MatchRate                       0.998858
#MismatchedBases                2734811
MismatchRate                    0.00114171
#DeletionsCigarD                68521
DeletionRate                    2.86056e-05
HomopolymerContextDel           0.181127
#InsertionsCigarI               507406
InsertionRate                   0.000211828
HomopolymerContextIns           0.223858
#SoftClippedBases               967899
SoftClipRate                    0.00040407
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00178621
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                423
MedianCoverage                  510
SDCoverage                      12.8729
CoveredBp                       4637253
FractionCovered                 0.999052
BpCov1ToCovNRatio               1.29387e-06
BpCov1ToCov2Ratio               3
MedianMAPQ                      44
