Sample                          mapping_ctrl2_result_kocuria_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         25996042
MappedFraction                  1
#MappedRead1                    13517006
#MappedRead2                    12479036
RatioMapped2vsMapped1           0.92321
#MappedForward                  12998457
MappedForwardFraction           0.500017
#MappedReverse                  12997585
MappedReverseFraction           0.499983
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          12530750
#MappedPairs                    12472222
MappedPairsFraction             0.995329
#MappedSameChr                  12472222
MappedSameChrFraction           0.995329
#MappedProperPair               9169320
MappedProperFraction            0.731746
#ReferenceBp                    2696980
#ReferenceNs                    0
#AlignedBases                   1923575846
#MatchedBases                   1921339109
MatchRate                       0.998837
#MismatchedBases                2236737
MismatchRate                    0.0011628
#DeletionsCigarD                57879
DeletionRate                    3.00893e-05
HomopolymerContextDel           0.247119
#InsertionsCigarI               513338
InsertionRate                   0.000266867
HomopolymerContextIns           0.25551
#SoftClippedBases               941521
SoftClipRate                    0.000489464
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00194922
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                437
MedianCoverage                  704
SDCoverage                      23.0548
CoveredBp                       2696962
FractionCovered                 0.999993
BpCov1ToCovNRatio               0
BpCov1ToCov2Ratio               -nan
MedianMAPQ                      44
