Sample                          mapping_ctrl2_result_subtilis_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         39094170
MappedFraction                  1
#MappedRead1                    20282046
#MappedRead2                    18812124
RatioMapped2vsMapped1           0.927526
#MappedForward                  19546758
MappedForwardFraction           0.499992
#MappedReverse                  19547412
MappedReverseFraction           0.500008
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          18848387
#MappedPairs                    18807508
MappedPairsFraction             0.997831
#MappedSameChr                  18807508
MappedSameChrFraction           0.997831
#MappedProperPair               14961141
MappedProperFraction            0.793762
#ReferenceBp                    4215606
#ReferenceNs                    0
#AlignedBases                   2898953501
#MatchedBases                   2896381713
MatchRate                       0.999113
#MismatchedBases                2571788
MismatchRate                    0.000887144
#DeletionsCigarD                76399
DeletionRate                    2.6354e-05
HomopolymerContextDel           0.276902
#InsertionsCigarI               605314
InsertionRate                   0.000208804
HomopolymerContextIns           0.288363
#SoftClippedBases               965078
SoftClipRate                    0.000332906
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00145521
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                421
MedianCoverage                  706
SDCoverage                      33.1119
CoveredBp                       4087823
FractionCovered                 0.969688
BpCov1ToCovNRatio               0.000235822
BpCov1ToCov2Ratio               1.25358
MedianMAPQ                      44
