Sample                          mapping_ctrl_result_PAE_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         37432750
MappedFraction                  1
#MappedRead1                    37432750
#MappedRead2                    0
RatioMapped2vsMapped1           0
#MappedForward                  18716375
MappedForwardFraction           0.5
#MappedReverse                  18716375
MappedReverseFraction           0.5
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          0
#MappedPairs                    0
MappedPairsFraction             0
#MappedSameChr                  0
MappedSameChrFraction           0
#MappedProperPair               0
MappedProperFraction            0
#ReferenceBp                    6504659
#ReferenceNs                    0
#AlignedBases                   2782568571
#MatchedBases                   2779398604
MatchRate                       0.998861
#MismatchedBases                3169967
MismatchRate                    0.00113922
#DeletionsCigarD                58932
DeletionRate                    2.1179e-05
HomopolymerContextDel           0.24211
#InsertionsCigarI               21602
InsertionRate                   7.76333e-06
HomopolymerContextIns           0.34469
#SoftClippedBases               0
SoftClipRate                    0
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00116817
MedianReadLength                76
DefaultLibraryLayout            0
MedianInsertSize                0
MedianCoverage                  434
SDCoverage                      18.1161
CoveredBp                       6335742
FractionCovered                 0.974031
BpCov1ToCovNRatio               6.21869e-05
BpCov1ToCov2Ratio               2.03093
MedianMAPQ                      42
