Sample                          mapping_ctrl_result_coli_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         30520646
MappedFraction                  1
#MappedRead1                    30520646
#MappedRead2                    0
RatioMapped2vsMapped1           0
#MappedForward                  15261702
MappedForwardFraction           0.500045
#MappedReverse                  15258944
MappedReverseFraction           0.499955
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          0
#MappedPairs                    0
MappedPairsFraction             0
#MappedSameChr                  0
MappedSameChrFraction           0
#MappedProperPair               0
MappedProperFraction            0
#ReferenceBp                    4641652
#ReferenceNs                    0
#AlignedBases                   2279734511
#MatchedBases                   2277550080
MatchRate                       0.999042
#MismatchedBases                2184431
MismatchRate                    0.000958195
#DeletionsCigarD                43513
DeletionRate                    1.90869e-05
HomopolymerContextDel           0.236067
#InsertionsCigarI               13580
InsertionRate                   5.95683e-06
HomopolymerContextIns           0.258984
#SoftClippedBases               0
SoftClipRate                    0
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.000983239
MedianReadLength                76
DefaultLibraryLayout            0
MedianInsertSize                0
MedianCoverage                  487
SDCoverage                      13.609
CoveredBp                       4637460
FractionCovered                 0.999097
BpCov1ToCovNRatio               3.34235e-05
BpCov1ToCov2Ratio               inf
MedianMAPQ                      42
