Sample                          mapping_ctrl_result_kocuria_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         21123014
MappedFraction                  1
#MappedRead1                    11152042
#MappedRead2                    9970972
RatioMapped2vsMapped1           0.894094
#MappedForward                  10562384
MappedForwardFraction           0.500042
#MappedReverse                  10560630
MappedReverseFraction           0.499958
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          10051904
#MappedPairs                    9923005
MappedPairsFraction             0.987177
#MappedSameChr                  9923005
MappedSameChrFraction           0.987177
#MappedProperPair               8534027
MappedProperFraction            0.848996
#ReferenceBp                    2696980
#ReferenceNs                    0
#AlignedBases                   1550995436
#MatchedBases                   1548923110
MatchRate                       0.998664
#MismatchedBases                2072326
MismatchRate                    0.00133613
#DeletionsCigarD                48205
DeletionRate                    3.108e-05
HomopolymerContextDel           0.246406
#InsertionsCigarI               224556
InsertionRate                   0.000144782
HomopolymerContextIns           0.275072
#SoftClippedBases               690385
SoftClipRate                    0.000445124
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00195711
MedianReadLength                76:76
DefaultLibraryLayout            2
MedianInsertSize                397
MedianCoverage                  570
SDCoverage                      26.8041
CoveredBp                       2696962
FractionCovered                 0.999993
BpCov1ToCovNRatio               0
BpCov1ToCov2Ratio               -nan
MedianMAPQ                      44
