Sample                          mapping_ctrl_result_subtilis_sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         44717330
MappedFraction                  1
#MappedRead1                    44717330
#MappedRead2                    0
RatioMapped2vsMapped1           0
#MappedForward                  22354747
MappedForwardFraction           0.499912
#MappedReverse                  22362583
MappedReverseFraction           0.500088
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          0
#MappedPairs                    0
MappedPairsFraction             0
#MappedSameChr                  0
MappedSameChrFraction           0
#MappedProperPair               0
MappedProperFraction            0
#ReferenceBp                    4215606
#ReferenceNs                    0
#AlignedBases                   3338352189
#MatchedBases                   3335666513
MatchRate                       0.999196
#MismatchedBases                2685676
MismatchRate                    0.000804492
#DeletionsCigarD                69863
DeletionRate                    2.09274e-05
HomopolymerContextDel           0.356083
#InsertionsCigarI               21660
InsertionRate                   6.48823e-06
HomopolymerContextIns           0.457618
#SoftClippedBases               0
SoftClipRate                    0
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.000831907
MedianReadLength                76
DefaultLibraryLayout            0
MedianInsertSize                0
MedianCoverage                  812
SDCoverage                      27.4284
CoveredBp                       4082942
FractionCovered                 0.96853
BpCov1ToCovNRatio               8.27834e-05
BpCov1ToCov2Ratio               2.23841
MedianMAPQ                      42
