Sample	mapping_C3_result_coli_sorted	mapping_C3_result_subtilis_sorted	mapping_C3_result_PAE_sorted	mapping_C3_result_kocuria_sorted
Library	DefaultLib	DefaultLib	DefaultLib	DefaultLib
#QCFail	0	0	0	0
QCFailFraction	0	0	0	0
#DuplicateMarked	0	0	0	0
DuplicateFraction	0	0	0	0
#Unmapped	0	0	0	0
UnmappedFraction	0	0	0	0
#Mapped	29251749	70375564	6224229	1954615
MappedFraction	1	1	1	1
#MappedRead1	15212444	36501631	3282380	1049423
#MappedRead2	14039305	33873933	2941849	905192
RatioMapped2vsMapped1	0.922883	0.928011	0.896255	0.862562
#MappedForward	14633600	35189510	3112412	975357
MappedForwardFraction	0.500264	0.500025	0.500048	0.499002
#MappedReverse	14618149	35186054	3111817	979258
MappedReverseFraction	0.499736	0.499975	0.499952	0.500998
#SecondaryAlignments	0	0	0	0
SecondaryAlignmentFraction	0	0	0	0
#SupplementaryAlignments	0	0	0	0
SupplementaryAlignmentFraction	0	0	0	0
#SplicedAlignments	0	0	0	0
SplicedAlignmentFraction	0	0	0	0
#Pairs	14082670	33909199	3001364	940014
#MappedPairs	14019527	33850528	2930478	901431
MappedPairsFraction	0.995516	0.99827	0.976382	0.958955
#MappedSameChr	14019527	33850528	2930478	901431
MappedSameChrFraction	0.995516	0.99827	0.976382	0.958955
#MappedProperPair	11676971	28247459	2369546	724771
MappedProperFraction	0.829173	0.833032	0.78949	0.771021
#ReferenceBp	4641652	4215606	6504659	2696980
#ReferenceNs	0	0	0	0
#AlignedBases	2170071027	5218746534	458623055	142881259
#MatchedBases	2167886601	5214842345	456874025	141962028
MatchRate	0.998993	0.999252	0.996186	0.993566
#MismatchedBases	2184426	3904189	1749030	919231
MismatchRate	0.00100661	0.000748109	0.00381365	0.00643353
#DeletionsCigarD	83796	188250	38270	22219
DeletionRate	3.86144e-05	3.60719e-05	8.34454e-05	0.000155507
HomopolymerContextDel	0.253389	0.404494	0.233995	0.135965
#InsertionsCigarI	353393	834103	97514	38257
InsertionRate	0.000162849	0.000159828	0.000212623	0.000267754
HomopolymerContextIns	0.246697	0.330575	0.167904	0.221476
#SoftClippedBases	907806	1871848	485597	233001
SoftClipRate	0.00041833	0.000358678	0.00105882	0.00163073
#HardClippedBases	0	0	0	0
HardClipRate	0	0	0	0
ErrorRate	0.00162641	0.00130269	0.00516854	0.00848752
MedianReadLength	76:76	76:76	76:76	76:76
DefaultLibraryLayout	2	2	2	2
MedianInsertSize	390	388	398	401
MedianCoverage	442	1224	62	44
SDCoverage	26.999	45.4747	31.6626	62.7365
CoveredBp	4637255	4088463	6338274	2696974
FractionCovered	0.999053	0.96984	0.974421	0.999998
BpCov1ToCovNRatio	8.62579e-07	0.000160696	0.000183015	7.41572e-06
BpCov1ToCov2Ratio	0.571429	1.23034	1.77642	0.952381
MedianMAPQ	44	44	44	44
