Sample	mapping_D3_result_coli_sorted	mapping_D3_result_subtilis_sorted	mapping_D3_result_PAE_sorted	mapping_D3_result_kocuria_sorted
Library	DefaultLib	DefaultLib	DefaultLib	DefaultLib
#QCFail	0	0	0	0
QCFailFraction	0	0	0	0
#DuplicateMarked	0	0	0	0
DuplicateFraction	0	0	0	0
#Unmapped	0	0	0	0
UnmappedFraction	0	0	0	0
#Mapped	26539575	98767816	2305498	509028
MappedFraction	1	1	1	1
#MappedRead1	13754756	51010775	1261162	310997
#MappedRead2	12784819	47757041	1044336	198031
RatioMapped2vsMapped1	0.929484	0.936215	0.828074	0.636762
#MappedForward	13275957	49399009	1151564	252603
MappedForwardFraction	0.500232	0.500153	0.499486	0.496246
#MappedReverse	13263618	49368807	1153934	256425
MappedReverseFraction	0.499768	0.499847	0.500514	0.503754
#SecondaryAlignments	0	0	0	0
SecondaryAlignmentFraction	0	0	0	0
#SupplementaryAlignments	0	0	0	0
SupplementaryAlignmentFraction	0	0	0	0
#SplicedAlignments	0	0	0	0
SplicedAlignmentFraction	0	0	0	0
#Pairs	12837901	47795752	1115509	245244
#MappedPairs	12778616	47749429	1037357	194661
MappedPairsFraction	0.995382	0.999031	0.929941	0.793744
#MappedSameChr	12778616	47749429	1037357	194661
MappedSameChrFraction	0.995382	0.999031	0.929941	0.793744
#MappedProperPair	9342040	35127611	730851	141525
MappedProperFraction	0.727692	0.734953	0.655173	0.577078
#ReferenceBp	4641652	4215606	6504659	2696980
#ReferenceNs	0	0	0	0
#AlignedBases	1965318597	7315132218	166761066	35237356
#MatchedBases	1963014441	7309501989	165022337	34141053
MatchRate	0.998828	0.99923	0.989574	0.968888
#MismatchedBases	2304156	5630229	1738729	1096303
MismatchRate	0.00117241	0.000769669	0.0104265	0.031112
#DeletionsCigarD	78003	219094	31913	22948
DeletionRate	3.96897e-05	2.99508e-05	0.00019137	0.000651241
HomopolymerContextDel	0.167968	0.338727	0.196252	0.0640579
#InsertionsCigarI	506226	1868484	57356	20246
InsertionRate	0.00025758	0.000255427	0.000343941	0.000574561
HomopolymerContextIns	0.247947	0.338587	0.152486	0.0959696
#SoftClippedBases	1203470	3684890	441108	237346
SoftClipRate	0.000612354	0.000503735	0.00264515	0.00673564
#HardClippedBases	0	0	0	0
HardClipRate	0	0	0	0
ErrorRate	0.00208203	0.00155878	0.0136069	0.0390734
MedianReadLength	76:76	76:76	76:76	76:76
DefaultLibraryLayout	2	2	2	2
MedianInsertSize	434	432	440	432
MedianCoverage	401	1727	18	7
SDCoverage	25.6627	52.3249	54.2966	158.655
CoveredBp	4637251	4088751	6336869	2675892
FractionCovered	0.999052	0.969908	0.974205	0.992181
BpCov1ToCovNRatio	6.46935e-07	5.74748e-05	0.000739324	0.0285841
BpCov1ToCov2Ratio	1.5	0.667614	0.374112	0.494377
MedianMAPQ	44	44	44	44
