Sample	mapping_F2_result_coli_sorted	mapping_F2_result_subtilis_sorted	mapping_F2_result_PAE_sorted	mapping_F2_result_kocuria_sorted
Library	DefaultLib	DefaultLib	DefaultLib	DefaultLib
#QCFail	0	0	0	0
QCFailFraction	0	0	0	0
#DuplicateMarked	0	0	0	0
DuplicateFraction	0	0	0	0
#Unmapped	0	0	0	0
UnmappedFraction	0	0	0	0
#Mapped	11376250	48676749	3333528	2549727
MappedFraction	1	1	1	1
#MappedRead1	7921677	32176618	1965250	1513567
#MappedRead2	3454573	16500131	1368278	1036160
RatioMapped2vsMapped1	0.436091	0.512799	0.696236	0.684582
#MappedForward	6176771	23631438	1667961	1275519
MappedForwardFraction	0.542953	0.485477	0.500359	0.500257
#MappedReverse	5199479	25045311	1665567	1274208
MappedReverseFraction	0.457047	0.514523	0.499641	0.499743
#SecondaryAlignments	0	0	0	0
SecondaryAlignmentFraction	0	0	0	0
#SupplementaryAlignments	0	0	0	0
SupplementaryAlignmentFraction	0	0	0	0
#SplicedAlignments	0	0	0	0
SplicedAlignmentFraction	0	0	0	0
#Pairs	3537833	17366454	1378813	1043155
#MappedPairs	3351133	15305888	1357441	1026908
MappedPairsFraction	0.947228	0.881348	0.9845	0.984425
#MappedSameChr	3351133	15305888	1357441	1026908
MappedSameChrFraction	0.947228	0.881348	0.9845	0.984425
#MappedProperPair	2199701	6563395	985047	746496
MappedProperFraction	0.621765	0.377935	0.714417	0.715614
#ReferenceBp	4641652	4215606	6504659	2696980
#ReferenceNs	0	0	0	0
#AlignedBases	555171227	2176258480	234561640	178339925
#MatchedBases	553796572	2161089940	234046958	177960096
MatchRate	0.997524	0.99303	0.997806	0.99787
#MismatchedBases	1374655	15168540	514682	379829
MismatchRate	0.00247609	0.00697001	0.00219423	0.0021298
#DeletionsCigarD	27074	634901	18390	15541
DeletionRate	4.87669e-05	0.00029174	7.84016e-05	8.71426e-05
HomopolymerContextDel	0.147005	0.0842698	0.185971	0.243614
#InsertionsCigarI	201326	2759596	72081	70692
InsertionRate	0.000362638	0.00126805	0.000307301	0.000396389
HomopolymerContextIns	0.568645	0.854424	0.460177	0.603166
#SoftClippedBases	9849047	53169835	637614	540174
SoftClipRate	0.0177406	0.0244318	0.00271832	0.0030289
#HardClippedBases	0	0	0	0
HardClipRate	0	0	0	0
ErrorRate	0.0206281	0.0329616	0.00529825	0.00564224
MedianReadLength	63:75	65:70	76:76	76:76
DefaultLibraryLayout	2	2	2	2
MedianInsertSize	352	162	403	400
MedianCoverage	54	118	30	55
SDCoverage	67.7178	97.5956	16.6398	41.8282
CoveredBp	4637244	4085802	6337565	2696975
FractionCovered	0.99905	0.969209	0.974312	0.999998
BpCov1ToCovNRatio	1.50952e-06	0.000356601	0.00020844	1.77977e-05
BpCov1ToCov2Ratio	0.241379	1.76392	1.37175	0.657534
MedianMAPQ	36	24	44	44
