Sample	mapping_N1_result_coli_sorted	mapping_N1_result_subtilis_sorted	mapping_N1_result_PAE_sorted	mapping_N1_result_kocuria_sorted
Library	DefaultLib	DefaultLib	DefaultLib	DefaultLib
#QCFail	0	0	0	0
QCFailFraction	0	0	0	0
#DuplicateMarked	0	0	0	0
DuplicateFraction	0	0	0	0
#Unmapped	0	0	0	0
UnmappedFraction	0	0	0	0
#Mapped	469831	6728468	461983	376375
MappedFraction	1	1	1	1
#MappedRead1	271148	4435550	259779	213513
#MappedRead2	198683	2292918	202204	162862
RatioMapped2vsMapped1	0.732747	0.516941	0.778369	0.762773
#MappedForward	234758	3398763	231170	188273
MappedForwardFraction	0.499665	0.505132	0.500386	0.500227
#MappedReverse	235073	3329705	230813	188102
MappedReverseFraction	0.500335	0.494868	0.499614	0.499773
#SecondaryAlignments	0	0	0	0
SecondaryAlignmentFraction	0	0	0	0
#SupplementaryAlignments	0	0	0	0
SupplementaryAlignmentFraction	0	0	0	0
#SplicedAlignments	0	0	0	0
SplicedAlignmentFraction	0	0	0	0
#Pairs	199874	2430106	203210	163395
#MappedPairs	196385	2092376	200895	161676
MappedPairsFraction	0.982544	0.861023	0.988608	0.989479
#MappedSameChr	196385	2092376	200895	161676
MappedSameChrFraction	0.982544	0.861023	0.988608	0.989479
#MappedProperPair	132735	929633	143947	115307
MappedProperFraction	0.664093	0.382548	0.708366	0.705695
#ReferenceBp	4641652	4215606	6504659	2696980
#ReferenceNs	0	0	0	0
#AlignedBases	30649802	277863837	33127173	26858093
#MatchedBases	30595605	276331841	33068774	26813892
MatchRate	0.998232	0.994487	0.998237	0.998354
#MismatchedBases	54197	1531996	58399	44201
MismatchRate	0.00176827	0.00551348	0.00176287	0.00164572
#DeletionsCigarD	1554	182294	2090	1808
DeletionRate	5.07018e-05	0.000656055	6.30902e-05	6.73168e-05
HomopolymerContextDel	0.184685	0.080244	0.17512	0.243916
#InsertionsCigarI	12186	589558	9543	9744
InsertionRate	0.000397588	0.00212175	0.000288072	0.000362796
HomopolymerContextIns	0.652798	0.90049	0.361102	0.519807
#SoftClippedBases	167017	8232950	68953	61514
SoftClipRate	0.0054492	0.0296294	0.00208146	0.00229033
#HardClippedBases	0	0	0	0
HardClipRate	0	0	0	0
ErrorRate	0.00766576	0.0379207	0.0041955	0.00436617
MedianReadLength	75:76	61:70	76:76	76:76
DefaultLibraryLayout	2	2	2	2
MedianInsertSize	409	66	419	418
MedianCoverage	5	9	4	9
SDCoverage	215.678	225.153	7.21992	12.84
CoveredBp	4560880	4073522	6202267	2691193
FractionCovered	0.982598	0.966296	0.953511	0.997854
BpCov1ToCovNRatio	0.0551363	0.00888838	0.0682349	0.00908482
BpCov1ToCov2Ratio	0.566314	0.394816	0.574386	0.397726
MedianMAPQ	44	24	44	44
