Sample	mapping_ctrl_result_coli_sorted	mapping_ctrl_result_subtilis_sorted	mapping_ctrl_result_PAE_sorted	mapping_ctrl_result_kocuria_sorted
Library	DefaultLib	DefaultLib	DefaultLib	DefaultLib
#QCFail	0	0	0	0
QCFailFraction	0	0	0	0
#DuplicateMarked	0	0	0	0
DuplicateFraction	0	0	0	0
#Unmapped	0	0	0	0
UnmappedFraction	0	0	0	0
#Mapped	30520646	44717330	37432750	21123014
MappedFraction	1	1	1	1
#MappedRead1	30520646	44717330	37432750	11152042
#MappedRead2	0	0	0	9970972
RatioMapped2vsMapped1	0	0	0	0.894094
#MappedForward	15261702	22354747	18716375	10562384
MappedForwardFraction	0.500045	0.499912	0.5	0.500042
#MappedReverse	15258944	22362583	18716375	10560630
MappedReverseFraction	0.499955	0.500088	0.5	0.499958
#SecondaryAlignments	0	0	0	0
SecondaryAlignmentFraction	0	0	0	0
#SupplementaryAlignments	0	0	0	0
SupplementaryAlignmentFraction	0	0	0	0
#SplicedAlignments	0	0	0	0
SplicedAlignmentFraction	0	0	0	0
#Pairs	0	0	0	10051904
#MappedPairs	0	0	0	9923005
MappedPairsFraction	0	0	0	0.987177
#MappedSameChr	0	0	0	9923005
MappedSameChrFraction	0	0	0	0.987177
#MappedProperPair	0	0	0	8534027
MappedProperFraction	0	0	0	0.848996
#ReferenceBp	4641652	4215606	6504659	2696980
#ReferenceNs	0	0	0	0
#AlignedBases	2279734511	3338352189	2782568571	1550995436
#MatchedBases	2277550080	3335666513	2779398604	1548923110
MatchRate	0.999042	0.999196	0.998861	0.998664
#MismatchedBases	2184431	2685676	3169967	2072326
MismatchRate	0.000958195	0.000804492	0.00113922	0.00133613
#DeletionsCigarD	43513	69863	58932	48205
DeletionRate	1.90869e-05	2.09274e-05	2.1179e-05	3.108e-05
HomopolymerContextDel	0.236067	0.356083	0.24211	0.246406
#InsertionsCigarI	13580	21660	21602	224556
InsertionRate	5.95683e-06	6.48823e-06	7.76333e-06	0.000144782
HomopolymerContextIns	0.258984	0.457618	0.34469	0.275072
#SoftClippedBases	0	0	0	690385
SoftClipRate	0	0	0	0.000445124
#HardClippedBases	0	0	0	0
HardClipRate	0	0	0	0
ErrorRate	0.000983239	0.000831907	0.00116817	0.00195711
MedianReadLength	76	76	76	76:76
DefaultLibraryLayout	0	0	0	2
MedianInsertSize	0	0	0	397
MedianCoverage	487	812	434	570
SDCoverage	13.609	27.4284	18.1161	26.8041
CoveredBp	4637460	4082942	6335742	2696962
FractionCovered	0.999097	0.96853	0.974031	0.999993
BpCov1ToCovNRatio	3.34235e-05	8.27834e-05	6.21869e-05	0
BpCov1ToCov2Ratio	inf	2.23841	2.03093	-nan
MedianMAPQ	42	42	42	44
