"name","variable","Library","QCFailFraction","DuplicateFraction","UnmappedFraction","MappedFraction","RatioMapped2vsMapped1","MappedForwardFraction","MappedReverseFraction","SecondaryAlignmentFraction","SupplementaryAlignmentFraction","SplicedAlignmentFraction","MappedPairsFraction","MappedSameChrFraction","MappedProperFraction","MatchRate","MismatchRate","DeletionRate","HomopolymerContextDel","InsertionRate","HomopolymerContextIns","SoftClipRate","HardClipRate","ErrorRate","MedianReadLength","DefaultLibraryLayout","MedianInsertSize","MedianCoverage","SDCoverage","CoveredBp","FractionCovered","BpCov1ToCovNRatio","BpCov1ToCov2Ratio","MedianMAPQ","ref","sample"
"mapping_A2_result_coli_sorted","mapping_A2_result_coli_sorted","DefaultLib","0","0","0","1","0.923053","0.500245","0.499755","0","0","0","0.996166","0.996166","0.731949","0.998939","0.00106089","2.77269e-05","0.218593","0.000268182","0.339329","0.000546628","0","0.00190343","76:76","2","431","429","24.4827","4637273","0.999057","5.82239e-06","27","44","E. coli","piMDA+D"
"mapping_A2_result_subtilis_sorted","mapping_A2_result_subtilis_sorted","DefaultLib","0","0","0","1","0.924774","0.500075","0.499925","0","0","0","0.997236","0.997236","0.742546","0.999035","0.000965159","3.01651e-05","0.308123","0.000306304","0.463986","0.000523537","0","0.00182516","76:76","2","428","293","28.0616","4086619","0.969403","0.000358976","1.37876","44","B. subtilis","piMDA+D"
"mapping_A2_result_PAE_sorted","mapping_A2_result_PAE_sorted","DefaultLib","0","0","0","1","0.930099","0.500118","0.499882","0","0","0","0.995722","0.995722","0.690703","0.99894","0.00105969","2.85811e-05","0.201824","0.000275194","0.19456","0.000560938","0","0.00192441","76:76","2","443","613","30.4404","6339883","0.974668","0.000203474","2.13576","44","P. aeruginosa","piMDA+D"
"mapping_A2_result_kocuria_sorted","mapping_A2_result_kocuria_sorted","DefaultLib","0","0","0","1","0.928614","0.500213","0.499787","0","0","0","0.99781","0.99781","0.679937","0.99907","0.000930005","2.74613e-05","0.299879","0.000305894","0.312846","0.000569372","0","0.00183273","76:76","2","446","1267","78.3951","2696980","1","0","0","44","K. rhizophila","piMDA+D"
"mapping_B2_result_coli_sorted","mapping_B2_result_coli_sorted","DefaultLib","0","0","0","1","0.916795","0.500171","0.499829","0","0","0","0.995321","0.995321","0.75857","0.998903","0.00109676","2.72182e-05","0.223333","0.000276347","0.43814","0.000589175","0","0.0019895","76:76","2","421","352","28.589","4637248","0.999051","6.46935e-07","3","44","E. coli","piMDA"
"mapping_B2_result_subtilis_sorted","mapping_B2_result_subtilis_sorted","DefaultLib","0","0","0","1","0.917","0.500102","0.499898","0","0","0","0.996281","0.996281","0.767799","0.998966","0.00103448","3.12248e-05","0.304861","0.000346222","0.582279","0.000633255","0","0.00204518","76:76","2","418","162","64.008","4085126","0.969048","0.000402925","1.73629","44","B. subtilis","piMDA"
"mapping_B2_result_PAE_sorted","mapping_B2_result_PAE_sorted","DefaultLib","0","0","0","1","0.926331","0.500033","0.499967","0","0","0","0.995809","0.995809","0.720387","0.998972","0.00102806","2.7912e-05","0.193904","0.000253272","0.229017","0.000576285","0","0.00188553","76:76","2","432","665","38.7627","6340059","0.974695","0.000189588","2.05822","44","P. aeruginosa","piMDA"
"mapping_B2_result_kocuria_sorted","mapping_B2_result_kocuria_sorted","DefaultLib","0","0","0","1","0.923167","0.500257","0.499743","0","0","0","0.997114","0.997114","0.70621","0.999058","0.000942323","2.78493e-05","0.299487","0.000291698","0.363994","0.000648736","0","0.00191061","76:76","2","434","1012","84.7779","2696980","1","0","-nan","44","K. rhizophila","piMDA"
"mapping_C3_result_coli_sorted","mapping_C3_result_coli_sorted","DefaultLib","0","0","0","1","0.922883","0.500264","0.499736","0","0","0","0.995516","0.995516","0.829173","0.998993","0.00100661","3.86144e-05","0.253389","0.000162849","0.246697","0.00041833","0","0.00162641","76:76","2","390","442","26.999","4637255","0.999053","8.62579e-07","0.571429","44","E. coli","PrimPol-MDA"
"mapping_C3_result_subtilis_sorted","mapping_C3_result_subtilis_sorted","DefaultLib","0","0","0","1","0.928011","0.500025","0.499975","0","0","0","0.99827","0.99827","0.833032","0.999252","0.000748109","3.60719e-05","0.404494","0.000159828","0.330575","0.000358678","0","0.00130269","76:76","2","388","1224","45.4747","4088463","0.96984","0.000160696","1.23034","44","B. subtilis","PrimPol-MDA"
"mapping_C3_result_PAE_sorted","mapping_C3_result_PAE_sorted","DefaultLib","0","0","0","1","0.896255","0.500048","0.499952","0","0","0","0.976382","0.976382","0.78949","0.996186","0.00381365","8.34454e-05","0.233995","0.000212623","0.167904","0.00105882","0","0.00516854","76:76","2","398","62","31.6626","6338274","0.974421","0.000183015","1.77642","44","P. aeruginosa","PrimPol-MDA"
"mapping_C3_result_kocuria_sorted","mapping_C3_result_kocuria_sorted","DefaultLib","0","0","0","1","0.862562","0.499002","0.500998","0","0","0","0.958955","0.958955","0.771021","0.993566","0.00643353","0.000155507","0.135965","0.000267754","0.221476","0.00163073","0","0.00848752","76:76","2","401","44","62.7365","2696974","0.999998","7.41572e-06","0.952381","44","K. rhizophila","PrimPol-MDA"
"mapping_D3_result_coli_sorted","mapping_D3_result_coli_sorted","DefaultLib","0","0","0","1","0.929484","0.500232","0.499768","0","0","0","0.995382","0.995382","0.727692","0.998828","0.00117241","3.96897e-05","0.167968","0.00025758","0.247947","0.000612354","0","0.00208203","76:76","2","434","401","25.6627","4637251","0.999052","6.46935e-07","1.5","44","E. coli","RP-MDA"
"mapping_D3_result_subtilis_sorted","mapping_D3_result_subtilis_sorted","DefaultLib","0","0","0","1","0.936215","0.500153","0.499847","0","0","0","0.999031","0.999031","0.734953","0.99923","0.000769669","2.99508e-05","0.338727","0.000255427","0.338587","0.000503735","0","0.00155878","76:76","2","432","1727","52.3249","4088751","0.969908","5.74748e-05","0.667614","44","B. subtilis","RP-MDA"
"mapping_D3_result_PAE_sorted","mapping_D3_result_PAE_sorted","DefaultLib","0","0","0","1","0.828074","0.499486","0.500514","0","0","0","0.929941","0.929941","0.655173","0.989574","0.0104265","0.00019137","0.196252","0.000343941","0.152486","0.00264515","0","0.0136069","76:76","2","440","18","54.2966","6336869","0.974205","0.000739324","0.374112","44","P. aeruginosa","RP-MDA"
"mapping_D3_result_kocuria_sorted","mapping_D3_result_kocuria_sorted","DefaultLib","0","0","0","1","0.636762","0.496246","0.503754","0","0","0","0.793744","0.793744","0.577078","0.968888","0.031112","0.000651241","0.0640579","0.000574561","0.0959696","0.00673564","0","0.0390734","76:76","2","432","7","158.655","2675892","0.992181","0.0285841","0.494377","44","K. rhizophila","RP-MDA"
"mapping_F2_result_coli_sorted","mapping_F2_result_coli_sorted","DefaultLib","0","0","0","1","0.436091","0.542953","0.457047","0","0","0","0.947228","0.947228","0.621765","0.997524","0.00247609","4.87669e-05","0.147005","0.000362638","0.568645","0.0177406","0","0.0206281","63:75","2","352","54","67.7178","4637244","0.99905","1.50952e-06","0.241379","36","E. coli","piPolB+D"
"mapping_F2_result_subtilis_sorted","mapping_F2_result_subtilis_sorted","DefaultLib","0","0","0","1","0.512799","0.485477","0.514523","0","0","0","0.881348","0.881348","0.377935","0.99303","0.00697001","0.00029174","0.0842698","0.00126805","0.854424","0.0244318","0","0.0329616","65:70","2","162","118","97.5956","4085802","0.969209","0.000356601","1.76392","24","B. subtilis","piPolB+D"
"mapping_F2_result_PAE_sorted","mapping_F2_result_PAE_sorted","DefaultLib","0","0","0","1","0.696236","0.500359","0.499641","0","0","0","0.9845","0.9845","0.714417","0.997806","0.00219423","7.84016e-05","0.185971","0.000307301","0.460177","0.00271832","0","0.00529825","76:76","2","403","30","16.6398","6337565","0.974312","0.00020844","1.37175","44","P. aeruginosa","piPolB+D"
"mapping_F2_result_kocuria_sorted","mapping_F2_result_kocuria_sorted","DefaultLib","0","0","0","1","0.684582","0.500257","0.499743","0","0","0","0.984425","0.984425","0.715614","0.99787","0.0021298","8.71426e-05","0.243614","0.000396389","0.603166","0.0030289","0","0.00564224","76:76","2","400","55","41.8282","2696975","0.999998","1.77977e-05","0.657534","44","K. rhizophila","piPolB+D"
"mapping_N1_result_coli_sorted","mapping_N1_result_coli_sorted","DefaultLib","0","0","0","1","0.732747","0.499665","0.500335","0","0","0","0.982544","0.982544","0.664093","0.998232","0.00176827","5.07018e-05","0.184685","0.000397588","0.652798","0.0054492","0","0.00766576","75:76","2","409","5","215.678","4560880","0.982598","0.0551363","0.566314","44","E. coli","piPolB"
"mapping_N1_result_subtilis_sorted","mapping_N1_result_subtilis_sorted","DefaultLib","0","0","0","1","0.516941","0.505132","0.494868","0","0","0","0.861023","0.861023","0.382548","0.994487","0.00551348","0.000656055","0.080244","0.00212175","0.90049","0.0296294","0","0.0379207","61:70","2","66","9","225.153","4073522","0.966296","0.00888838","0.394816","24","B. subtilis","piPolB"
"mapping_N1_result_PAE_sorted","mapping_N1_result_PAE_sorted","DefaultLib","0","0","0","1","0.778369","0.500386","0.499614","0","0","0","0.988608","0.988608","0.708366","0.998237","0.00176287","6.30902e-05","0.17512","0.000288072","0.361102","0.00208146","0","0.0041955","76:76","2","419","4","7.21992","6202267","0.953511","0.0682349","0.574386","44","P. aeruginosa","piPolB"
"mapping_N1_result_kocuria_sorted","mapping_N1_result_kocuria_sorted","DefaultLib","0","0","0","1","0.762773","0.500227","0.499773","0","0","0","0.989479","0.989479","0.705695","0.998354","0.00164572","6.73168e-05","0.243916","0.000362796","0.519807","0.00229033","0","0.00436617","76:76","2","418","9","12.84","2691193","0.997854","0.00908482","0.397726","44","K. rhizophila","piPolB"
"mapping_N2_result_coli_sorted","mapping_N2_result_coli_sorted","DefaultLib","0","0","0","1","0","0.499991","0.500009","0","0","0","0","0","0","0.998669","0.00133069","3.16156e-05","0.253224","0.000163205","0.670008","0","0","0.00152551","76","0","0","329","28.5296","4637314","0.999065","1.50949e-06","2.33333","42","E. coli","piMDA"
"mapping_N2_result_subtilis_sorted","mapping_N2_result_subtilis_sorted","DefaultLib","0","0","0","1","0","0.499873","0.500127","0","0","0","0","0","0","0.99863","0.00136999","3.652e-05","0.362801","0.000256111","0.796438","0","0","0.00166262","76","0","0","161","28.8343","4082468","0.968418","5.78082e-05","2.26923","42","B. subtilis","piMDA"
"mapping_N2_result_PAE_sorted","mapping_N2_result_PAE_sorted","DefaultLib","0","0","0","1","0","0.499926","0.500074","0","0","0","0","0","0","0.998686","0.00131436","2.95919e-05","0.206085","8.59728e-05","0.480059","0","0","0.00142993","76","0","0","638","36.9924","6335763","0.974035","4.79816e-05","1.75723","42","P. aeruginosa","piMDA"
"mapping_N2_result_kocuria_sorted","mapping_N2_result_kocuria_sorted","DefaultLib","0","0","0","1","0.901084","0.500238","0.499762","0","0","0","0.994341","0.994341","0.743724","0.999024","0.000975991","2.85092e-05","0.312277","0.0002657","0.416065","0.000649951","0","0.00192015","76:76","2","422","844","74.3559","2696980","1","0","0","44","K. rhizophila","piMDA"
"mapping_N4_result_coli_sorted","mapping_N4_result_coli_sorted","DefaultLib","0","0","0","1","0","0.499866","0.500134","0","0","0","0","0","0","0.99869","0.00131038","3.0082e-05","0.247452","5.44706e-05","0.373987","0","0","0.00139493","76","0","0","275","34.1431","4637307","0.999064","0","0","42","E. coli","RP-MDA"
"mapping_N4_result_subtilis_sorted","mapping_N4_result_subtilis_sorted","DefaultLib","0","0","0","1","0","0.500009","0.499991","0","0","0","0","0","0","0.998912","0.00108786","3.1209e-05","0.381576","6.31066e-05","0.510887","0","0","0.00118218","76","0","0","1819","67.4328","4083571","0.968679","0.000112647","1.57534","42","B. subtilis","RP-MDA"
"mapping_N4_result_PAE_sorted","mapping_N4_result_PAE_sorted","DefaultLib","0","0","0","1","0","0.49971","0.50029","0","0","0","0","0","0","0.98603","0.0139697","0.000229697","0.244895","0.000173803","0.171911","0","0","0.0143732","76","0","0","5","67.181","6083973","0.935325","0.0881002","0.76494","42","P. aeruginosa","RP-MDA"
