## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/A2_gc_bias_PAE.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/A2_gc_bias_PAE_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_A2_result_PAE_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/A2_gc_bias_PAE.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/CP013113.1_PAER4.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:10:14 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	331	31	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	0	0	0	0	0			
All Reads	ALL	13	0	0	0	0	0			
All Reads	ALL	14	0	0	0	0	0			
All Reads	ALL	15	0	0	0	0	0			
All Reads	ALL	16	0	0	0	0	0			
All Reads	ALL	17	0	0	0	0	0			
All Reads	ALL	18	0	0	0	0	0			
All Reads	ALL	19	0	0	0	0	0			
All Reads	ALL	20	0	0	0	0	0			
All Reads	ALL	21	4	17	26	0,499607	0,121172			
All Reads	ALL	22	17	99	30	0,684583	0,068803			
All Reads	ALL	23	40	192	27	0,564262	0,040722			
All Reads	ALL	24	68	556	29	0,961182	0,040763			
All Reads	ALL	25	79	616	29	0,916628	0,036932			
All Reads	ALL	26	110	1048	29	1,119975	0,034596			
All Reads	ALL	27	161	1641	29	1,198181	0,029578			
All Reads	ALL	28	190	1945	29	1,203388	0,027286			
All Reads	ALL	29	291	2408	30	0,972754	0,019823			
All Reads	ALL	30	382	2975	29	0,91551	0,016785			
All Reads	ALL	31	526	3475	29	0,77662	0,013174			
All Reads	ALL	32	666	3867	29	0,682558	0,010976			
All Reads	ALL	33	937	5367	29	0,673336	0,009191			
All Reads	ALL	34	1344	7290	29	0,637629	0,007468			
All Reads	ALL	35	1877	10783	29	0,675328	0,006503			
All Reads	ALL	36	2492	13956	29	0,658343	0,005573			
All Reads	ALL	37	2960	17578	29	0,698099	0,005265			
All Reads	ALL	38	3623	22052	29	0,715516	0,004818			
All Reads	ALL	39	4419	27736	29	0,737835	0,00443			
All Reads	ALL	40	5552	34522	28	0,730947	0,003934			
All Reads	ALL	41	6744	43112	29	0,751485	0,003619			
All Reads	ALL	42	7560	51449	28	0,800009	0,003527			
All Reads	ALL	43	8902	62808	28	0,829406	0,003309			
All Reads	ALL	44	10068	72887	28	0,851033	0,003152			
All Reads	ALL	45	11505	85494	27	0,873552	0,002988			
All Reads	ALL	46	13206	100275	27	0,892608	0,002819			
All Reads	ALL	47	14983	118427	27	0,929162	0,0027			
All Reads	ALL	48	16989	136160	26	0,942153	0,002553			
All Reads	ALL	49	19460	159805	26	0,965355	0,002415			
All Reads	ALL	50	22696	191944	25	0,994179	0,002269			
All Reads	ALL	51	26710	228179	25	1,004249	0,002102			
All Reads	ALL	52	32427	283389	25	1,027344	0,00193			
All Reads	ALL	53	38961	343953	25	1,037788	0,00177			
All Reads	ALL	54	46945	415793	25	1,041184	0,001615			
All Reads	ALL	55	56924	510136	26	1,053489	0,001475			
All Reads	ALL	56	69051	618556	27	1,053049	0,001339			
All Reads	ALL	57	87025	789710	27	1,066751	0,0012			
All Reads	ALL	58	110173	1007971	28	1,075505	0,001071			
All Reads	ALL	59	140214	1272275	28	1,066668	0,000946			
All Reads	ALL	60	177619	1599169	28	1,058387	0,000837			
All Reads	ALL	61	220968	1979342	28	1,053006	0,000748			
All Reads	ALL	62	271409	2431096	28	1,052973	0,000675			
All Reads	ALL	63	323825	2875222	29	1,04376	0,000616			
All Reads	ALL	64	371789	3282158	29	1,037773	0,000573			
All Reads	ALL	65	415909	3653509	29	1,032646	0,00054			
All Reads	ALL	66	451287	3930105	29	1,023743	0,000516			
All Reads	ALL	67	473045	4084760	29	1,015088	0,000502			
All Reads	ALL	68	475358	4057587	29	1,003429	0,000498			
All Reads	ALL	69	458482	3877888	29	0,994289	0,000505			
All Reads	ALL	70	428292	3597620	29	0,98745	0,000521			
All Reads	ALL	71	384663	3176874	29	0,970866	0,000545			
All Reads	ALL	72	329437	2681539	29	0,956866	0,000584			
All Reads	ALL	73	272625	2195955	28	0,946885	0,000639			
All Reads	ALL	74	215184	1705784	28	0,931866	0,000713			
All Reads	ALL	75	161122	1255976	28	0,91636	0,000818			
All Reads	ALL	76	114325	876075	28	0,900823	0,000962			
All Reads	ALL	77	76813	578255	28	0,884961	0,001164			
All Reads	ALL	78	48376	358226	28	0,870496	0,001454			
All Reads	ALL	79	29731	215614	28	0,852525	0,001836			
All Reads	ALL	80	17737	127100	27	0,842374	0,002363			
All Reads	ALL	81	9989	70506	27	0,829743	0,003125			
All Reads	ALL	82	5303	37084	27	0,822062	0,004269			
All Reads	ALL	83	2646	18112	26	0,804667	0,005979			
All Reads	ALL	84	1266	8552	25	0,794097	0,008587			
All Reads	ALL	85	629	4233	25	0,791111	0,012159			
All Reads	ALL	86	282	1974	25	0,822882	0,018521			
All Reads	ALL	87	91	714	25	0,922351	0,034518			
All Reads	ALL	88	35	221	26	0,742273	0,049931			
All Reads	ALL	89	18	107	28	0,698797	0,067555			
All Reads	ALL	90	20	94	27	0,552507	0,056987			
All Reads	ALL	91	2	8	25	0,470218	0,166247			
All Reads	ALL	92	0	0	0	0	0			
All Reads	ALL	93	0	0	0	0	0			
All Reads	ALL	94	0	0	0	0	0			
All Reads	ALL	95	0	0	0	0	0			
All Reads	ALL	96	0	0	0	0	0			
All Reads	ALL	97	0	0	0	0	0			
All Reads	ALL	98	0	0	0	0	0			
All Reads	ALL	99	0	0	0	0	0			
All Reads	ALL	100	0	0	0	0	0			


