## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/A2_gc_bias_coli.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/A2_gc_bias_coli_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_A2_result_coli_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/A2_gc_bias_coli.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/NC_000913.3.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:09:07 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	280	29	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	4	25	30	1,036817	0,207363			
All Reads	ALL	13	23	159	30	1,14681	0,090948			
All Reads	ALL	14	30	173	29	0,956637	0,072732			
All Reads	ALL	15	93	626	29	1,116641	0,04463			
All Reads	ALL	16	149	1014	29	1,128948	0,035453			
All Reads	ALL	17	242	1611	28	1,104339	0,027514			
All Reads	ALL	18	354	2417	29	1,132649	0,023039			
All Reads	ALL	19	618	4802	29	1,289009	0,018601			
All Reads	ALL	20	860	5847	29	1,127864	0,01475			
All Reads	ALL	21	1358	9151	29	1,117869	0,011686			
All Reads	ALL	22	1825	12296	29	1,117694	0,01008			
All Reads	ALL	23	2782	18562	29	1,106853	0,008124			
All Reads	ALL	24	3544	23169	29	1,084515	0,007125			
All Reads	ALL	25	4714	29950	29	1,053973	0,00609			
All Reads	ALL	26	6193	39315	29	1,053124	0,005311			
All Reads	ALL	27	7831	48807	29	1,03392	0,00468			
All Reads	ALL	28	10243	62917	29	1,018974	0,004062			
All Reads	ALL	29	12543	77383	29	1,023449	0,003679			
All Reads	ALL	30	14966	90706	29	1,005431	0,003338			
All Reads	ALL	31	17568	106269	29	1,003475	0,003078			
All Reads	ALL	32	20117	120920	29	0,997142	0,002868			
All Reads	ALL	33	23580	140902	29	0,991278	0,002641			
All Reads	ALL	34	27649	164215	29	0,985271	0,002431			
All Reads	ALL	35	31545	189612	29	0,997143	0,00229			
All Reads	ALL	36	35836	214618	29	0,993502	0,002145			
All Reads	ALL	37	39757	238724	29	0,996104	0,002039			
All Reads	ALL	38	45667	276441	29	1,004204	0,00191			
All Reads	ALL	39	53199	322395	29	1,005326	0,001771			
All Reads	ALL	40	62666	379745	29	1,005269	0,001631			
All Reads	ALL	41	72394	437561	29	1,00267	0,001516			
All Reads	ALL	42	85093	514613	29	1,00325	0,001399			
All Reads	ALL	43	99490	598804	29	0,998452	0,00129			
All Reads	ALL	44	116387	699659	29	0,99725	0,001192			
All Reads	ALL	45	136105	819239	29	0,998524	0,001103			
All Reads	ALL	46	157904	952438	29	1,000612	0,001025			
All Reads	ALL	47	181671	1095203	29	1,000072	0,000956			
All Reads	ALL	48	208706	1253191	29	0,996103	0,00089			
All Reads	ALL	49	234616	1415182	29	1,000638	0,000841			
All Reads	ALL	50	257779	1558293	29	1,002822	0,000803			
