## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/A2_gc_bias_kc.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/A2_gc_bias_kc_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_A2_result_kocuria_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/A2_gc_bias_kocuria.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/Kocuria_rhizophila_ATCC_9341.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:11:32 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	1219	31	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	0	0	0	0	0			
All Reads	ALL	13	0	0	0	0	0			
All Reads	ALL	14	0	0	0	0	0			
All Reads	ALL	15	0	0	0	0	0			
All Reads	ALL	16	0	0	0	0	0			
All Reads	ALL	17	0	0	0	0	0			
All Reads	ALL	18	0	0	0	0	0			
All Reads	ALL	19	0	0	0	0	0			
All Reads	ALL	20	0	0	0	0	0			
All Reads	ALL	21	0	0	0	0	0			
All Reads	ALL	22	0	0	0	0	0			
All Reads	ALL	23	0	0	0	0	0			
All Reads	ALL	24	0	0	0	0	0			
All Reads	ALL	25	0	0	0	0	0			
All Reads	ALL	26	8	172	30	1,15199	0,087838			
All Reads	ALL	27	10	198	28	1,060902	0,075395			
All Reads	ALL	28	18	322	29	0,958503	0,053415			
All Reads	ALL	29	25	344	28	0,737273	0,039751			
All Reads	ALL	30	15	213	29	0,760849	0,052133			
All Reads	ALL	31	12	186	30	0,830504	0,060896			
All Reads	ALL	32	11	196	33	0,954714	0,068194			
All Reads	ALL	33	21	336	30	0,857295	0,046769			
All Reads	ALL	34	27	397	29	0,787838	0,03954			
All Reads	ALL	35	63	956	28	0,813069	0,026297			
All Reads	ALL	36	109	1537	29	0,75554	0,019272			
All Reads	ALL	37	168	2464	29	0,785853	0,015831			
All Reads	ALL	38	212	2915	29	0,736738	0,013646			
All Reads	ALL	39	230	2911	29	0,678148	0,012569			
All Reads	ALL	40	256	3507	28	0,734017	0,012395			
All Reads	ALL	41	348	5588	28	0,860374	0,01151			
All Reads	ALL	42	457	7071	28	0,829039	0,009859			
All Reads	ALL	43	530	8388	29	0,847994	0,009259			
All Reads	ALL	44	583	9283	29	0,853159	0,008855			
All Reads	ALL	45	647	10119	28	0,837999	0,008331			
All Reads	ALL	46	790	12434	29	0,843323	0,007563			
All Reads	ALL	47	996	16100	27	0,866117	0,006826			
