## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/A2_gc_bias_metagenome.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/A2_gc_bias_metagenome_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_A2_metagenome_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/A2_gc_bias_metagenome.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/metagenome.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 27 19:14:43 CEST 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	2030	31	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	2	4	25	0,240001	0,120001			
All Reads	ALL	11	3	18	24	0,720003	0,169706			
All Reads	ALL	12	18	77	28	0,513336	0,0585			
All Reads	ALL	13	61	274	27	0,539019	0,032563			
All Reads	ALL	14	99	409	29	0,49576	0,024514			
All Reads	ALL	15	232	1122	28	0,580347	0,017326			
All Reads	ALL	16	414	1957	28	0,567249	0,012823			
All Reads	ALL	17	657	3312	29	0,604934	0,010511			
All Reads	ALL	18	1179	6040	28	0,614761	0,00791			
All Reads	ALL	19	1961	10699	28	0,65471	0,00633			
All Reads	ALL	20	2947	15000	29	0,610793	0,004987			
All Reads	ALL	21	4428	21696	29	0,58797	0,003992			
All Reads	ALL	22	6577	30788	29	0,561742	0,003201			
All Reads	ALL	23	10038	46810	29	0,559596	0,002586			
All Reads	ALL	24	13131	61449	29	0,561565	0,002265			
All Reads	ALL	25	16968	76881	29	0,543715	0,001961			
All Reads	ALL	26	22322	99371	29	0,534207	0,001695			
All Reads	ALL	27	28292	124713	29	0,52897	0,001498			
All Reads	ALL	28	36690	159261	29	0,520889	0,001305			
All Reads	ALL	29	47001	200837	29	0,512767	0,001144			
All Reads	ALL	30	58328	246188	29	0,506492	0,001021			
All Reads	ALL	31	70344	297767	29	0,507964	0,000931			
All Reads	ALL	32	83849	355461	29	0,508718	0,000853			
All Reads	ALL	33	101838	430851	29	0,507692	0,000773			
All Reads	ALL	34	119577	511733	29	0,513546	0,000718			
All Reads	ALL	35	138734	601506	29	0,520284	0,000671			
All Reads	ALL	36	159611	699490	29	0,525898	0,000629			
All Reads	ALL	37	181203	802008	29	0,531125	0,000593			
All Reads	ALL	38	205339	924003	29	0,539989	0,000562			
All Reads	ALL	39	232452	1058051	29	0,546206	0,000531			
All Reads	ALL	40	262352	1208323	29	0,55269	0,000503			
All Reads	ALL	41	289362	1347263	29	0,55872	0,000481			
All Reads	ALL	42	317347	1502365	29	0,568099	0,000463			
All Reads	ALL	43	342040	1640138	29	0,575422	0,000449			
All Reads	ALL	44	365406	1779503	29	0,584395	0,000438			
All Reads	ALL	45	387317	1922997	29	0,595793	0,00043			
All Reads	ALL	46	406405	2057865	29	0,607633	0,000424			
All Reads	ALL	47	422871	2185235	29	0,620117	0,000419			
All Reads	ALL	48	436752	2300473	29	0,63207	0,000417			
All Reads	ALL	49	445505	2410174	29	0,649201	0,000418			
All Reads	ALL	50	451658	2504236	29	0,665348	0,00042			
All Reads	ALL	51	456692	2590979	29	0,680806	0,000423			
All Reads	ALL	52	455090	2640419	29	0,69624	0,000428			
All Reads	ALL	53	447841	2658263	29	0,712291	0,000437			
All Reads	ALL	54	429853	2621087	29	0,73172	0,000452			
All Reads	ALL	55	405343	2558953	29	0,75757	0,000474			
All Reads	ALL	56	377543	2495468	29	0,793174	0,000502			
All Reads	ALL	57	353993	2483502	29	0,841885	0,000534			
All Reads	ALL	58	338145	2536814	29	0,900262	0,000565			
All Reads	ALL	59	329892	2654190	29	0,96548	0,000593			
All Reads	ALL	60	333301	2863742	29	1,031052	0,000609			
All Reads	ALL	61	351119	3212895	29	1,098058	0,000613			
All Reads	ALL	62	384616	3723396	29	1,161703	0,000602			
All Reads	ALL	63	427987	4296089	29	1,204553	0,000581			
All Reads	ALL	64	475965	4922038	29	1,240947	0,000559			
All Reads	ALL	65	527593	5591344	29	1,271746	0,000538			
All Reads	ALL	66	575783	6220711	29	1,296476	0,00052			
All Reads	ALL	67	614146	6752873	29	1,319472	0,000508			
All Reads	ALL	68	634249	7092995	29	1,342002	0,000504			
All Reads	ALL	69	634200	7255850	29	1,37292	0,00051			
All Reads	ALL	70	617734	7187227	29	1,396185	0,000521			
All Reads	ALL	71	582209	6879562	29	1,417963	0,000541			
All Reads	ALL	72	529033	6382695	29	1,447786	0,000573			
All Reads	ALL	73	467484	5760607	29	1,478716	0,000616			
All Reads	ALL	74	396863	4980661	29	1,506016	0,000675			
All Reads	ALL	75	325426	4162910	29	1,535069	0,000752			
All Reads	ALL	76	258782	3377417	29	1,566152	0,000852			
All Reads	ALL	77	198358	2640235	28	1,597261	0,000983			
All Reads	ALL	78	146188	1978489	28	1,624071	0,001155			
All Reads	ALL	79	105011	1438063	28	1,643336	0,00137			
All Reads	ALL	80	73676	1010470	27	1,645813	0,001637			
All Reads	ALL	81	49418	681291	27	1,654362	0,002004			
All Reads	ALL	82	33292	467231	26	1,684127	0,002464			
All Reads	ALL	83	22130	316192	26	1,71456	0,003049			
All Reads	ALL	84	13340	190783	26	1,716196	0,003929			
All Reads	ALL	85	7582	108920	25	1,72388	0,005223			
All Reads	ALL	86	4134	60015	25	1,742098	0,007111			
All Reads	ALL	87	1878	26438	24	1,689337	0,01039			
All Reads	ALL	88	879	12689	24	1,732294	0,015378			
All Reads	ALL	89	326	4038	23	1,486387	0,023391			
All Reads	ALL	90	69	659	21	1,146092	0,044645			
