## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/A2_gc_bias_subtilis.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/A2_gc_bias_subtilis_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_A2_result_subtilis_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/A2_gc_bias_subtilis.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/NC_000964.3.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:09:49 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	195	33	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	2	4	25	0,48509	0,242545			
All Reads	ALL	11	3	18	24	1,45527	0,34301			
All Reads	ALL	12	14	52	27	0,900881	0,12493			
All Reads	ALL	13	38	115	25	0,734018	0,068448			
All Reads	ALL	14	69	236	28	0,829574	0,054001			
All Reads	ALL	15	139	496	27	0,865484	0,038861			
All Reads	ALL	16	265	943	27	0,863094	0,028106			
All Reads	ALL	17	415	1701	29	0,994142	0,024104			
All Reads	ALL	18	825	3623	28	1,06514	0,017696			
All Reads	ALL	19	1343	5897	28	1,064995	0,013869			
All Reads	ALL	20	2087	9154	29	1,063851	0,011119			
All Reads	ALL	21	3066	12528	29	0,991064	0,008854			
All Reads	ALL	22	4735	18393	29	0,942161	0,006947			
All Reads	ALL	23	7216	28056	28	0,943021	0,00563			
All Reads	ALL	24	9519	37723	29	0,961186	0,004949			
All Reads	ALL	25	12175	46315	29	0,922667	0,004287			
All Reads	ALL	26	16011	58834	29	0,891256	0,003674			
All Reads	ALL	27	20290	74067	29	0,885391	0,003253			
All Reads	ALL	28	26239	94077	29	0,869618	0,002835			
All Reads	ALL	29	34142	120704	29	0,857482	0,002468			
All Reads	ALL	30	42965	152294	29	0,859726	0,002203			
All Reads	ALL	31	52238	187836	29	0,872137	0,002012			
All Reads	ALL	32	63055	230487	29	0,886583	0,001847			
All Reads	ALL	33	77300	284250	29	0,891894	0,001673			
All Reads	ALL	34	90557	339834	29	0,910201	0,001561			
All Reads	ALL	35	105249	400190	29	0,922233	0,001458			
All Reads	ALL	36	121174	469405	29	0,939573	0,001371			
All Reads	ALL	37	138318	543293	29	0,952681	0,001293			
All Reads	ALL	38	155837	622735	29	0,969226	0,001228			
All Reads	ALL	39	174604	705112	29	0,979481	0,001166			
All Reads	ALL	40	193878	790695	29	0,989174	0,001112			
All Reads	ALL	41	209876	861463	29	0,995557	0,001073			
All Reads	ALL	42	224237	929610	29	1,005509	0,001043			
All Reads	ALL	43	233118	971081	29	1,01035	0,001025			
All Reads	ALL	44	238368	998893	29	1,016397	0,001017			
All Reads	ALL	45	239060	1010008	29	1,024732	0,00102			
All Reads	ALL	46	234505	996258	29	1,030415	0,001032			
All Reads	ALL	47	225221	959595	29	1,033407	0,001055			
All Reads	ALL	48	209803	896108	29	1,035955	0,001094			
All Reads	ALL	49	189718	810950	29	1,036759	0,001151			
All Reads	ALL	50	169001	724271	29	1,039451	0,001221			
All Reads	ALL	51	146983	633050	28	1,044632	0,001313			
All Reads	ALL	52	126311	541881	28	1,040531	0,001414			
All Reads	ALL	53	105383	449366	27	1,034242	0,001543			
All Reads	ALL	54	84250	360932	27	1,039077	0,00173			
All Reads	ALL	55	65472	282349	26	1,045979	0,001968			
All Reads	ALL	56	49080	215455	25	1,064742	0,002294			
All Reads	ALL	57	36190	159602	25	1,069651	0,002677			
All Reads	ALL	58	26321	116989	25	1,07804	0,003152			
All Reads	ALL	59	18173	82559	23	1,101869	0,003835			
All Reads	ALL	60	11966	54288	23	1,100391	0,004723			
All Reads	ALL	61	7628	35161	24	1,118003	0,005962			
All Reads	ALL	62	4915	21913	24	1,081361	0,007305			
All Reads	ALL	63	2703	12865	24	1,154399	0,010178			
All Reads	ALL	64	1575	7437	25	1,145274	0,01328			
All Reads	ALL	65	857	4146	26	1,173386	0,018223			
All Reads	ALL	66	435	2253	24	1,256216	0,026466			
All Reads	ALL	67	200	976	27	1,18362	0,037887			
All Reads	ALL	68	100	472	29	1,144812	0,052694			
All Reads	ALL	69	82	353	30	1,044127	0,055573			
All Reads	ALL	70	65	252	29	0,940328	0,059235			
All Reads	ALL	71	49	177	29	0,876132	0,065854			
All Reads	ALL	72	69	257	22	0,903392	0,056352			
All Reads	ALL	73	18	51	33	0,687211	0,096229			
All Reads	ALL	74	5	18	0	0,873162	0,205806			
All Reads	ALL	75	0	0	0	0	0			
All Reads	ALL	76	0	0	0	0	0			
All Reads	ALL	77	0	0	0	0	0			
All Reads	ALL	78	0	0	0	0	0			
All Reads	ALL	79	0	0	0	0	0			
All Reads	ALL	80	0	0	0	0	0			
All Reads	ALL	81	0	0	0	0	0			
