## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/B2_gc_bias_PAE.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/B2_gc_bias_PAE_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_B2_result_PAE_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/B2_gc_bias_PAE.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/CP013113.1_PAER4.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:13:37 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	379	33	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	0	0	0	0	0			
All Reads	ALL	13	0	0	0	0	0			
All Reads	ALL	14	0	0	0	0	0			
All Reads	ALL	15	0	0	0	0	0			
All Reads	ALL	16	0	0	0	0	0			
All Reads	ALL	17	0	0	0	0	0			
All Reads	ALL	18	0	0	0	0	0			
All Reads	ALL	19	0	0	0	0	0			
All Reads	ALL	20	0	0	0	0	0			
All Reads	ALL	21	4	10	0	0,265349	0,083911			
All Reads	ALL	22	17	61	30	0,380854	0,048763			
All Reads	ALL	23	40	168	28	0,445786	0,034393			
All Reads	ALL	24	68	395	30	0,616546	0,031022			
All Reads	ALL	25	79	421	30	0,56563	0,027567			
All Reads	ALL	26	110	762	28	0,735258	0,026636			
All Reads	ALL	27	161	1306	29	0,860983	0,023824			
All Reads	ALL	28	190	1768	29	0,987656	0,023489			
All Reads	ALL	29	291	2124	28	0,774709	0,01681			
All Reads	ALL	30	382	2628	28	0,730196	0,014244			
All Reads	ALL	31	526	3098	29	0,625134	0,011231			
All Reads	ALL	32	666	3593	28	0,572612	0,009553			
All Reads	ALL	33	937	4985	29	0,564681	0,007998			
All Reads	ALL	34	1344	6644	29	0,524696	0,006437			
All Reads	ALL	35	1877	9482	28	0,536183	0,005506			
All Reads	ALL	36	2492	12498	28	0,532316	0,004762			
All Reads	ALL	37	2960	15749	29	0,564727	0,0045			
All Reads	ALL	38	3623	19899	28	0,582962	0,004133			
All Reads	ALL	39	4419	24977	28	0,59992	0,003796			
All Reads	ALL	40	5552	31641	27	0,604892	0,003401			
All Reads	ALL	41	6744	39631	28	0,623727	0,003133			
All Reads	ALL	42	7560	48095	28	0,675236	0,003079			
All Reads	ALL	43	8902	59484	28	0,709234	0,002908			
All Reads	ALL	44	10068	69912	28	0,737031	0,002787			
All Reads	ALL	45	11505	82263	28	0,758919	0,002646			
All Reads	ALL	46	13206	97115	27	0,780535	0,002505			
All Reads	ALL	47	14983	115919	27	0,82117	0,002412			
All Reads	ALL	48	16989	134563	27	0,840688	0,002292			
All Reads	ALL	49	19460	160916	26	0,877675	0,002188			
All Reads	ALL	50	22696	194200	26	0,908191	0,002061			
All Reads	ALL	51	26710	231375	26	0,919432	0,001911			
All Reads	ALL	52	32427	291952	26	0,955613	0,001769			
All Reads	ALL	53	38961	354352	26	0,965344	0,001622			
All Reads	ALL	54	46945	432405	26	0,977639	0,001487			
All Reads	ALL	55	56924	539985	26	1,006847	0,00137			
All Reads	ALL	56	69051	667782	28	1,02646	0,001256			
All Reads	ALL	57	87025	853088	27	1,040464	0,001126			
All Reads	ALL	58	110173	1099935	28	1,059666	0,00101			
All Reads	ALL	59	140214	1395428	28	1,056315	0,000894			
All Reads	ALL	60	177619	1758595	29	1,050881	0,000792			
All Reads	ALL	61	220968	2187063	29	1,050532	0,00071			
All Reads	ALL	62	271409	2683003	29	1,049238	0,000641			
All Reads	ALL	63	323825	3189815	29	1,04552	0,000585			
All Reads	ALL	64	371789	3650442	29	1,04214	0,000545			
All Reads	ALL	65	415909	4072319	29	1,039252	0,000515			
All Reads	ALL	66	451287	4388023	29	1,032032	0,000493			
All Reads	ALL	67	473045	4561279	29	1,023438	0,000479			
All Reads	ALL	68	475358	4535502	29	1,012702	0,000476			
All Reads	ALL	69	458482	4340013	29	1,004722	0,000482			
All Reads	ALL	70	428292	4023089	29	0,997004	0,000497			
All Reads	ALL	71	384663	3555229	29	0,98099	0,00052			
All Reads	ALL	72	329437	2997895	29	0,965876	0,000558			
All Reads	ALL	73	272625	2454412	29	0,955562	0,00061			
All Reads	ALL	74	215184	1908006	28	0,941124	0,000681			
All Reads	ALL	75	161122	1404208	28	0,925026	0,000781			
All Reads	ALL	76	114325	979458	28	0,909331	0,000919			
All Reads	ALL	77	76813	645437	28	0,891859	0,00111			
All Reads	ALL	78	48376	399054	28	0,875546	0,001386			
All Reads	ALL	79	29731	239946	28	0,856606	0,001749			
All Reads	ALL	80	17737	140862	28	0,842929	0,002246			
All Reads	ALL	81	9989	79474	27	0,844462	0,002995			
All Reads	ALL	82	5303	41214	27	0,824898	0,004063			
All Reads	ALL	83	2646	20389	27	0,817868	0,005728			
All Reads	ALL	84	1266	9361	26	0,784812	0,008112			
All Reads	ALL	85	629	4663	25	0,78685	0,011523			
All Reads	ALL	86	282	2107	26	0,793036	0,017277			
All Reads	ALL	87	91	770	25	0,898104	0,032365			
All Reads	ALL	88	35	255	27	0,773302	0,048426			
All Reads	ALL	89	18	110	25	0,648631	0,061845			
All Reads	ALL	90	20	84	28	0,445786	0,048639			
All Reads	ALL	91	2	8	25	0,424558	0,150104			
All Reads	ALL	92	0	0	0	0	0			
All Reads	ALL	93	0	0	0	0	0			
All Reads	ALL	94	0	0	0	0	0			
All Reads	ALL	95	0	0	0	0	0			
All Reads	ALL	96	0	0	0	0	0			
All Reads	ALL	97	0	0	0	0	0			
All Reads	ALL	98	0	0	0	0	0			
All Reads	ALL	99	0	0	0	0	0			
All Reads	ALL	100	0	0	0	0	0			


