## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/B2_gc_bias_coli.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/B2_gc_bias_coli_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_B2_result_coli_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/B2_gc_bias_coli.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/NC_000913.3.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:12:44 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	198	29	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	4	28	26	1,387219	0,26216			
All Reads	ALL	13	23	124	30	1,068417	0,095947			
All Reads	ALL	14	30	144	27	0,951236	0,07927			
All Reads	ALL	15	93	505	27	1,076107	0,047886			
All Reads	ALL	16	149	752	28	1,000181	0,036473			
All Reads	ALL	17	242	1194	27	0,977768	0,028297			
All Reads	ALL	18	354	1797	27	1,005986	0,023731			
All Reads	ALL	19	618	3560	28	1,141586	0,019133			
All Reads	ALL	20	860	4403	28	1,014606	0,015291			
All Reads	ALL	21	1358	6536	28	0,953804	0,011798			
All Reads	ALL	22	1825	9290	28	1,008788	0,010466			
All Reads	ALL	23	2782	13595	28	0,968432	0,008306			
All Reads	ALL	24	3544	17081	28	0,955139	0,007308			
All Reads	ALL	25	4714	22289	28	0,937018	0,006276			
All Reads	ALL	26	6193	28810	28	0,921912	0,005431			
