## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/B2_gc_bias_kc.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/B2_gc_bias_kc_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_B2_result_kocuria_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/B2_gc_bias_kocuria.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/Kocuria_rhizophila_ATCC_9341.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:15:03 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	927	33	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	0	0	0	0	0			
All Reads	ALL	13	0	0	0	0	0			
All Reads	ALL	14	0	0	0	0	0			
All Reads	ALL	15	0	0	0	0	0			
All Reads	ALL	16	0	0	0	0	0			
All Reads	ALL	17	0	0	0	0	0			
All Reads	ALL	18	0	0	0	0	0			
All Reads	ALL	19	0	0	0	0	0			
All Reads	ALL	20	0	0	0	0	0			
All Reads	ALL	21	0	0	0	0	0			
All Reads	ALL	22	0	0	0	0	0			
All Reads	ALL	23	0	0	0	0	0			
All Reads	ALL	24	0	0	0	0	0			
All Reads	ALL	25	0	0	0	0	0			
All Reads	ALL	26	8	65	26	0,546387	0,067771			
All Reads	ALL	27	10	72	30	0,484183	0,057062			
All Reads	ALL	28	18	115	29	0,429638	0,040064			
All Reads	ALL	29	25	133	27	0,357758	0,031022			
All Reads	ALL	30	15	64	24	0,286923	0,035865			
All Reads	ALL	31	12	78	28	0,43711	0,049493			
All Reads	ALL	32	11	78	30	0,476847	0,053992			
All Reads	ALL	33	21	138	28	0,441913	0,037618			
