## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/B2_gc_bias_metagenome.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/B2_gc_bias_metagenome_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_B2_metagenome_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/B2_gc_bias_metagenome.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/metagenome.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 27 19:18:42 CEST 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	1621	32	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	2	5	0	0,335421	0,150005			
All Reads	ALL	11	3	7	0	0,31306	0,118325			
All Reads	ALL	12	18	55	25	0,409959	0,055279			
All Reads	ALL	13	61	183	25	0,402505	0,029754			
All Reads	ALL	14	99	262	26	0,355072	0,021936			
All Reads	ALL	15	232	747	26	0,431999	0,015806			
All Reads	ALL	16	414	1256	27	0,407042	0,011485			
All Reads	ALL	17	657	2115	27	0,431912	0,009392			
All Reads	ALL	18	1179	3743	27	0,425948	0,006962			
All Reads	ALL	19	1961	7881	28	0,539205	0,006074			
All Reads	ALL	20	2947	9576	28	0,435968	0,004455			
All Reads	ALL	21	4428	13026	28	0,394688	0,003458			
All Reads	ALL	22	6577	19079	28	0,389205	0,002818			
All Reads	ALL	23	10038	28572	28	0,381895	0,002259			
All Reads	ALL	24	13131	37557	28	0,383746	0,00198			
All Reads	ALL	25	16968	47480	28	0,375431	0,001723			
All Reads	ALL	26	22322	61110	28	0,367307	0,001486			
All Reads	ALL	27	28292	78309	28	0,371363	0,001327			
All Reads	ALL	28	36690	99022	28	0,362105	0,001151			
All Reads	ALL	29	47001	125582	28	0,358485	0,001012			
All Reads	ALL	30	58328	153677	28	0,353494	0,000902			
All Reads	ALL	31	70344	183936	28	0,350825	0,000818			
