## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/B2_gc_bias_subtilis.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/B2_gc_bias_subtilis_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_B2_result_subtilis_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/B2_gc_bias_subtilis.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/NC_000964.3.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:13:22 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	115	32	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	2	5	0	1,029488	0,460401			
All Reads	ALL	11	3	7	0	0,960856	0,363169			
All Reads	ALL	12	14	27	25	0,794177	0,152839			
All Reads	ALL	13	38	59	21	0,639366	0,083238			
All Reads	ALL	14	69	118	25	0,70423	0,06483			
All Reads	ALL	15	139	242	25	0,716939	0,046087			
All Reads	ALL	16	265	504	26	0,783188	0,034886			
All Reads	ALL	17	415	921	28	0,913888	0,030114			
All Reads	ALL	18	825	1946	26	0,971338	0,022019			
All Reads	ALL	19	1343	4321	27	1,32492	0,020156			
All Reads	ALL	20	2087	5172	28	1,020511	0,01419			
All Reads	ALL	21	3066	6480	28	0,870331	0,010812			
All Reads	ALL	22	4735	9729	27	0,846116	0,008578			
All Reads	ALL	23	7216	14810	27	0,845162	0,006945			
All Reads	ALL	24	9519	20081	28	0,868711	0,00613			
All Reads	ALL	25	12175	24770	28	0,837796	0,005323			
All Reads	ALL	26	16011	31473	28	0,809471	0,004563			
All Reads	ALL	27	20290	40297	28	0,817847	0,004074			
All Reads	ALL	28	26239	50593	28	0,794007	0,00353			
All Reads	ALL	29	34142	65830	28	0,793992	0,003095			
All Reads	ALL	30	42965	83142	28	0,796869	0,002764			
All Reads	ALL	31	52238	101667	28	0,801447	0,002514			
All Reads	ALL	32	63055	124878	28	0,815545	0,002308			
All Reads	ALL	33	77300	156961	28	0,836168	0,002111			
All Reads	ALL	34	90557	188023	28	0,855008	0,001972			
All Reads	ALL	35	105249	223203	28	0,8733	0,001848			
All Reads	ALL	36	121174	263433	28	0,895246	0,001744			
All Reads	ALL	37	138318	306451	29	0,912355	0,001648			
All Reads	ALL	38	155837	353439	29	0,933954	0,001571			
All Reads	ALL	39	174604	401277	29	0,946393	0,001494			
All Reads	ALL	40	193878	453118	29	0,962419	0,00143			
All Reads	ALL	41	209876	494917	29	0,971071	0,00138			
All Reads	ALL	42	224237	532651	29	0,978176	0,00134			
All Reads	ALL	43	233118	562081	29	0,992898	0,001324			
All Reads	ALL	44	238368	585060	29	1,010727	0,001321			
All Reads	ALL	45	239060	592938	29	1,021372	0,001326			
All Reads	ALL	46	234505	588169	29	1,032836	0,001347			
All Reads	ALL	47	225221	578221	29	1,057223	0,00139			
All Reads	ALL	48	209803	550132	29	1,079783	0,001456			
All Reads	ALL	49	189718	494839	29	1,07408	0,001527			
All Reads	ALL	50	169001	450506	29	1,097723	0,001635			
All Reads	ALL	51	146983	398612	28	1,116772	0,001769			
All Reads	ALL	52	126311	335759	28	1,094631	0,001889			
All Reads	ALL	53	105383	276787	27	1,081575	0,002056			
All Reads	ALL	54	84250	223479	26	1,092316	0,002311			
All Reads	ALL	55	65472	177230	25	1,114713	0,002648			
All Reads	ALL	56	49080	135965	25	1,140786	0,003094			
All Reads	ALL	57	36190	101943	24	1,159979	0,003633			
All Reads	ALL	58	26321	75303	25	1,178125	0,004293			
All Reads	ALL	59	18173	53634	23	1,215332	0,005248			
All Reads	ALL	60	11966	36134	23	1,243508	0,006542			
All Reads	ALL	61	7628	24150	24	1,303731	0,008389			
All Reads	ALL	62	4915	15201	24	1,273591	0,01033			
All Reads	ALL	63	2703	8739	24	1,331365	0,014242			
All Reads	ALL	64	1575	5112	25	1,33657	0,018694			
All Reads	ALL	65	857	2825	26	1,357435	0,025539			
All Reads	ALL	66	435	1671	23	1,581862	0,038697			
All Reads	ALL	67	200	664	27	1,367161	0,053056			
All Reads	ALL	68	100	334	31	1,375396	0,075258			
All Reads	ALL	69	82	224	31	1,124904	0,075161			
All Reads	ALL	70	65	151	29	0,956632	0,07785			
All Reads	ALL	71	49	126	26	1,058902	0,094335			
All Reads	ALL	72	69	191	23	1,139897	0,08248			
All Reads	ALL	73	18	43	35	0,983733	0,150018			
All Reads	ALL	74	5	10	0	0,823591	0,260442			
All Reads	ALL	75	0	0	0	0	0			
All Reads	ALL	76	0	0	0	0	0			
All Reads	ALL	77	0	0	0	0	0			
All Reads	ALL	78	0	0	0	0	0			
All Reads	ALL	79	0	0	0	0	0			
All Reads	ALL	80	0	0	0	0	0			
All Reads	ALL	81	0	0	0	0	0			
All Reads	ALL	82	0	0	0	0	0			
All Reads	ALL	83	0	0	0	0	0			
All Reads	ALL	84	0	0	0	0	0			
All Reads	ALL	85	0	0	0	0	0			
All Reads	ALL	86	0	0	0	0	0			
All Reads	ALL	87	0	0	0	0	0			
All Reads	ALL	88	0	0	0	0	0			
All Reads	ALL	89	0	0	0	0	0			
All Reads	ALL	90	0	0	0	0	0			
All Reads	ALL	91	0	0	0	0	0			
All Reads	ALL	92	0	0	0	0	0			
All Reads	ALL	93	0	0	0	0	0			
All Reads	ALL	94	0	0	0	0	0			
All Reads	ALL	95	0	0	0	0	0			
All Reads	ALL	96	0	0	0	0	0			
All Reads	ALL	97	0	0	0	0	0			
All Reads	ALL	98	0	0	0	0	0			
All Reads	ALL	99	0	0	0	0	0			
All Reads	ALL	100	0	0	0	0	0			


