## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/C3_gc_bias_PAE.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/C3_gc_bias_PAE_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_C3_result_PAE_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/C3_gc_bias_PAE.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/CP013113.1_PAER4.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:19:49 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	58	32	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	0	0	0	0	0			
All Reads	ALL	13	0	0	0	0	0			
All Reads	ALL	14	0	0	0	0	0			
All Reads	ALL	15	0	0	0	0	0			
All Reads	ALL	16	0	0	0	0	0			
All Reads	ALL	17	0	0	0	0	0			
All Reads	ALL	18	0	0	0	0	0			
All Reads	ALL	19	0	0	0	0	0			
All Reads	ALL	20	0	0	0	0	0			
All Reads	ALL	21	4	10	0	2,612613	0,826181			
All Reads	ALL	22	17	58	26	3,565448	0,468166			
All Reads	ALL	23	40	89	29	2,325225	0,246473			
All Reads	ALL	24	68	163	31	2,505034	0,196209			
All Reads	ALL	25	79	194	28	2,566313	0,184251			
All Reads	ALL	26	110	220	34	2,09009	0,140914			
All Reads	ALL	27	161	284	31	1,843434	0,109388			
All Reads	ALL	28	190	424	32	2,332101	0,113257			
All Reads	ALL	29	291	653	31	2,345067	0,09177			
All Reads	ALL	30	382	665	29	1,819254	0,070548			
All Reads	ALL	31	526	862	30	1,712602	0,058331			
All Reads	ALL	32	666	946	30	1,484403	0,048262			
All Reads	ALL	33	937	1265	31	1,410867	0,039668			
All Reads	ALL	34	1344	2110	30	1,640659	0,035717			
All Reads	ALL	35	1877	2904	30	1,616841	0,030003			
All Reads	ALL	36	2492	3857	29	1,617471	0,026044			
All Reads	ALL	37	2960	4791	30	1,69149	0,024437			
All Reads	ALL	38	3623	5598	31	1,614729	0,021582			
All Reads	ALL	39	4419	6871	29	1,624916	0,019603			
All Reads	ALL	40	5552	8863	27	1,66827	0,01772			
All Reads	ALL	41	6744	10791	30	1,672165	0,016097			
All Reads	ALL	42	7560	12268	27	1,695848	0,015311			
All Reads	ALL	43	8902	14853	26	1,743659	0,014307			
All Reads	ALL	44	10068	17877	23	1,855609	0,013878			
All Reads	ALL	45	11505	21389	21	1,942848	0,013284			
All Reads	ALL	46	13206	24264	21	1,92011	0,012327			
All Reads	ALL	47	14983	29467	20	2,055286	0,011973			
All Reads	ALL	48	16989	33985	19	2,090521	0,01134			
All Reads	ALL	49	19460	41130	18	2,208772	0,010891			
All Reads	ALL	50	22696	52422	17	2,413789	0,010542			
All Reads	ALL	51	26710	59455	17	2,326213	0,00954			
All Reads	ALL	52	32427	74454	16	2,399475	0,008794			
All Reads	ALL	53	38961	86905	17	2,33104	0,007907			
All Reads	ALL	54	46945	103168	17	2,296628	0,00715			
All Reads	ALL	55	56924	116124	17	2,131874	0,006256			
All Reads	ALL	56	69051	113701	19	1,720796	0,005103			
All Reads	ALL	57	87025	135543	19	1,627676	0,004421			
All Reads	ALL	58	110173	153613	20	1,457095	0,003718			
All Reads	ALL	59	140214	172687	23	1,287073	0,003097			
All Reads	ALL	60	177619	198572	25	1,168325	0,002622			
All Reads	ALL	61	220968	234549	26	1,109275	0,00229			
All Reads	ALL	62	271409	277637	26	1,069026	0,002029			
All Reads	ALL	63	323825	316709	27	1,02208	0,001816			
All Reads	ALL	64	371789	349316	28	0,981877	0,001661			
All Reads	ALL	65	415909	381415	28	0,958373	0,001552			
All Reads	ALL	66	451287	401731	28	0,930288	0,001468			
All Reads	ALL	67	473045	409265	28	0,904143	0,001413			
All Reads	ALL	68	475358	401525	28	0,882728	0,001393			
All Reads	ALL	69	458482	375938	28	0,856898	0,001398			
All Reads	ALL	70	428292	343573	28	0,838328	0,00143			
All Reads	ALL	71	384663	299741	28	0,814331	0,001487			
All Reads	ALL	72	329437	249766	29	0,792312	0,001585			
All Reads	ALL	73	272625	201219	28	0,771327	0,00172			
All Reads	ALL	74	215184	156026	28	0,757743	0,001918			
All Reads	ALL	75	161122	112062	29	0,72684	0,002171			
All Reads	ALL	76	114325	77901	29	0,712093	0,002551			
All Reads	ALL	77	76813	50491	29	0,686933	0,003057			
All Reads	ALL	78	48376	30865	28	0,666763	0,003795			
All Reads	ALL	79	29731	18506	28	0,650486	0,004782			
All Reads	ALL	80	17737	10730	28	0,6322	0,006103			
All Reads	ALL	81	9989	5793	28	0,606061	0,007963			
All Reads	ALL	82	5303	3059	27	0,602827	0,010899			
All Reads	ALL	83	2646	1489	28	0,588085	0,01524			
All Reads	ALL	84	1266	715	27	0,590211	0,022073			
All Reads	ALL	85	629	341	26	0,566551	0,03068			
All Reads	ALL	86	282	158	26	0,585522	0,046582			
All Reads	ALL	87	91	70	26	0,803881	0,096082			
All Reads	ALL	88	35	15	30	0,447876	0,115641			
All Reads	ALL	89	18	16	0	0,928929	0,232232			
All Reads	ALL	90	20	14	0	0,731532	0,19551			
All Reads	ALL	91	2	1	0	0,522523	0,522523			
All Reads	ALL	92	0	0	0	0	0			
All Reads	ALL	93	0	0	0	0	0			
All Reads	ALL	94	0	0	0	0	0			
All Reads	ALL	95	0	0	0	0	0			
All Reads	ALL	96	0	0	0	0	0			
All Reads	ALL	97	0	0	0	0	0			
All Reads	ALL	98	0	0	0	0	0			
All Reads	ALL	99	0	0	0	0	0			
All Reads	ALL	100	0	0	0	0	0			


