## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/C3_gc_bias_coli.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/C3_gc_bias_coli_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_C3_result_coli_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/C3_gc_bias_coli.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/NC_000913.3.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:17:32 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	336	34	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	4	64	37	2,538843	0,317355			
All Reads	ALL	13	23	325	31	2,242185	0,124374			
All Reads	ALL	14	30	379	32	2,004628	0,102971			
All Reads	ALL	15	93	1119	32	1,909251	0,057075			
All Reads	ALL	16	149	1649	31	1,756104	0,043245			
All Reads	ALL	17	242	2722	31	1,784796	0,034209			
All Reads	ALL	18	354	3918	30	1,756212	0,028057			
All Reads	ALL	19	618	6367	30	1,634791	0,020488			
All Reads	ALL	20	860	9357	31	1,72645	0,017848			
All Reads	ALL	21	1358	14002	30	1,636086	0,013826			
All Reads	ALL	22	1825	18833	31	1,637467	0,011932			
All Reads	ALL	23	2782	28154	31	1,605827	0,00957			
All Reads	ALL	24	3544	35668	30	1,596985	0,008456			
All Reads	ALL	25	4714	47607	30	1,602497	0,007344			
All Reads	ALL	26	6193	62790	30	1,608812	0,00642			
All Reads	ALL	27	7831	77630	30	1,572998	0,005646			
All Reads	ALL	28	10243	102042	30	1,580766	0,004949			
All Reads	ALL	29	12543	122011	30	1,543524	0,004419			
All Reads	ALL	30	14966	144608	30	1,533213	0,004032			
All Reads	ALL	31	17568	166324	30	1,502272	0,003684			
