## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/C3_gc_bias_kc.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/C3_gc_bias_kc_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_C3_result_kocuria_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/C3_gc_bias_kocuria.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/Kocuria_rhizophila_ATCC_9341.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:20:00 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	92	31	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	0	0	0	0	0			
All Reads	ALL	13	0	0	0	0	0			
All Reads	ALL	14	0	0	0	0	0			
All Reads	ALL	15	0	0	0	0	0			
All Reads	ALL	16	0	0	0	0	0			
All Reads	ALL	17	0	0	0	0	0			
All Reads	ALL	18	0	0	0	0	0			
All Reads	ALL	19	0	0	0	0	0			
All Reads	ALL	20	0	0	0	0	0			
All Reads	ALL	21	0	0	0	0	0			
All Reads	ALL	22	0	0	0	0	0			
All Reads	ALL	23	0	0	0	0	0			
All Reads	ALL	24	0	0	0	0	0			
All Reads	ALL	25	0	0	0	0	0			
All Reads	ALL	26	8	40	28	6,898853	1,090804			
All Reads	ALL	27	10	45	0	6,208968	0,925578			
All Reads	ALL	28	18	71	29	5,442429	0,645897			
All Reads	ALL	29	25	81	35	4,470457	0,496717			
All Reads	ALL	30	15	43	29	3,955343	0,603184			
All Reads	ALL	31	12	22	32	2,52958	0,539308			
All Reads	ALL	32	11	28	28	3,512143	0,663733			
All Reads	ALL	33	21	35	31	2,299618	0,388706			
All Reads	ALL	34	27	52	28	2,657336	0,368506			
All Reads	ALL	35	63	134	32	2,93475	0,253524			
All Reads	ALL	36	109	271	27	3,430439	0,208384			
All Reads	ALL	37	168	405	29	3,326233	0,165282			
All Reads	ALL	38	212	419	31	2,727	0,133223			
All Reads	ALL	39	230	520	29	3,119481	0,136798			
All Reads	ALL	40	256	484	28	2,608629	0,118574			
All Reads	ALL	41	348	633	28	2,509755	0,099754			
All Reads	ALL	42	457	797	29	2,406296	0,085235			
All Reads	ALL	43	530	874	29	2,27532	0,076964			
All Reads	ALL	44	583	1022	30	2,41874	0,07566			
All Reads	ALL	45	647	1046	28	2,230665	0,068971			
All Reads	ALL	46	790	1178	28	2,05743	0,059945			
All Reads	ALL	47	996	2766	16	3,831773	0,072857			
All Reads	ALL	48	1254	6201	14	6,822933	0,086644			
