## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/C3_gc_bias_metagenome.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/C3_gc_bias_metagenome_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_C3_metagenome_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/C3_gc_bias_metagenome.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/metagenome.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 27 19:23:27 CEST 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	1137	34	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	2	61	32	5,142282	0,658402			
All Reads	ALL	11	3	118	29	6,631576	0,610486			
All Reads	ALL	12	18	458	33	4,289918	0,200455			
All Reads	ALL	13	61	1057	29	2,921468	0,089859			
All Reads	ALL	14	99	1908	31	3,24937	0,074389			
All Reads	ALL	15	232	3837	31	2,788431	0,045016			
All Reads	ALL	16	414	6454	31	2,628359	0,032717			
All Reads	ALL	17	657	10641	30	2,730694	0,026472			
All Reads	ALL	18	1179	19896	29	2,845168	0,020171			
All Reads	ALL	19	1961	32876	30	2,826555	0,015589			
All Reads	ALL	20	2947	51820	30	2,964649	0,013023			
All Reads	ALL	21	4428	72467	30	2,759235	0,01025			
All Reads	ALL	22	6577	109541	30	2,80805	0,008484			
All Reads	ALL	23	10038	167003	30	2,805001	0,006864			
All Reads	ALL	24	13131	216553	30	2,780497	0,005975			
All Reads	ALL	25	16968	267857	30	2,661512	0,005143			
All Reads	ALL	26	22322	346881	30	2,620013	0,004448			
All Reads	ALL	27	28292	433706	30	2,584567	0,003925			
All Reads	ALL	28	36690	553971	30	2,54563	0,00342			
All Reads	ALL	29	47001	707592	30	2,538235	0,003017			
All Reads	ALL	30	58328	879382	30	2,541889	0,002711			
All Reads	ALL	31	70344	1063717	30	2,5495	0,002472			
All Reads	ALL	32	83849	1274886	30	2,563477	0,00227			
All Reads	ALL	33	101838	1547145	30	2,561399	0,002059			
All Reads	ALL	34	119577	1813456	30	2,55691	0,001899			
All Reads	ALL	35	138734	2104705	30	2,557787	0,001763			
All Reads	ALL	36	159611	2432853	30	2,569858	0,001648			
All Reads	ALL	37	181203	2771828	30	2,579033	0,001549			
All Reads	ALL	38	205339	3132380	30	2,571929	0,001453			
All Reads	ALL	39	232452	3517405	30	2,551203	0,00136			
All Reads	ALL	40	262352	3906584	30	2,51055	0,00127			
All Reads	ALL	41	289362	4238899	30	2,469833	0,0012			
All Reads	ALL	42	317347	4539848	30	2,41192	0,001132			
All Reads	ALL	43	342040	4749507	30	2,341141	0,001074			
All Reads	ALL	44	365406	4915602	30	2,268073	0,001023			
All Reads	ALL	45	387317	5003958	30	2,178227	0,000974			
All Reads	ALL	46	406405	5007362	30	2,077332	0,000928			
All Reads	ALL	47	422871	4936708	30	1,968274	0,000886			
All Reads	ALL	48	436752	4782542	30	1,846205	0,000844			
All Reads	ALL	49	445505	4547425	30	1,720953	0,000807			
All Reads	ALL	50	451658	4306919	30	1,60773	0,000775			
All Reads	ALL	51	456692	4041314	30	1,491953	0,000742			
All Reads	ALL	52	455090	3739416	30	1,38536	0,000716			
All Reads	ALL	53	447841	3411295	30	1,284256	0,000695			
All Reads	ALL	54	429853	3011822	30	1,181314	0,000681			
All Reads	ALL	55	405343	2607872	30	1,084725	0,000672			
All Reads	ALL	56	377543	2201927	30	0,983315	0,000663			
All Reads	ALL	57	353993	1834605	30	0,873784	0,000645			
All Reads	ALL	58	338145	1519450	30	0,757599	0,000615			
All Reads	ALL	59	329892	1240746	30	0,634114	0,000569			
All Reads	ALL	60	333301	1001757	30	0,506736	0,000506			
All Reads	ALL	61	351119	827761	30	0,397472	0,000437			
All Reads	ALL	62	384616	707662	30	0,310209	0,000369			
All Reads	ALL	63	427987	628448	30	0,247568	0,000312			
All Reads	ALL	64	475965	580533	30	0,20564	0,00027			
All Reads	ALL	65	527593	561755	30	0,179516	0,00024			
All Reads	ALL	66	575783	551825	30	0,161584	0,000218			
All Reads	ALL	67	614146	543615	30	0,149237	0,000202			
All Reads	ALL	68	634249	528963	30	0,140612	0,000193			
All Reads	ALL	69	634200	505661	30	0,134428	0,000189			
All Reads	ALL	70	617734	472488	30	0,128957	0,000188			
All Reads	ALL	71	582209	428348	30	0,124043	0,00019			
All Reads	ALL	72	529033	376239	29	0,119905	0,000195			
All Reads	ALL	73	467484	319089	29	0,11508	0,000204			
All Reads	ALL	74	396863	263023	29	0,11174	0,000218			
All Reads	ALL	75	325426	205900	29	0,106674	0,000235			
All Reads	ALL	76	258782	158303	29	0,103136	0,000259			
All Reads	ALL	77	198358	116138	29	0,098714	0,00029			
All Reads	ALL	78	146188	82585	29	0,095246	0,000331			
All Reads	ALL	79	105011	57325	28	0,092038	0,000384			
All Reads	ALL	80	73676	38836	28	0,088872	0,000451			
All Reads	ALL	81	49418	24979	28	0,085221	0,000539			
All Reads	ALL	82	33292	16475	27	0,083434	0,00065			
All Reads	ALL	83	22130	10706	26	0,081565	0,000788			
All Reads	ALL	84	13340	6369	26	0,080495	0,001009			
All Reads	ALL	85	7582	3420	26	0,07605	0,0013			
All Reads	ALL	86	4134	1916	25	0,078141	0,001785			
All Reads	ALL	87	1878	803	25	0,07209	0,002544			
All Reads	ALL	88	879	396	25	0,075956	0,003817			
All Reads	ALL	89	326	135	26	0,069819	0,006009			
All Reads	ALL	90	69	32	26	0,078191	0,013822			
All Reads	ALL	91	11	6	19	0,091963	0,037544			
All Reads	ALL	92	5	1	0	0,03372	0,03372			
All Reads	ALL	93	4	0	0	0	0			
All Reads	ALL	94	0	0	0	0	0			
All Reads	ALL	95	0	0	0	0	0			
All Reads	ALL	96	0	0	0	0	0			
All Reads	ALL	97	0	0	0	0	0			
All Reads	ALL	98	0	0	0	0	0			
All Reads	ALL	99	0	0	0	0	0			
All Reads	ALL	100	0	0	0	0	0			


