## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/C3_gc_bias_subtilis.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/C3_gc_bias_subtilis_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_C3_result_subtilis_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/C3_gc_bias_subtilis.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/NC_000964.3.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:18:13 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	649	35	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	2	61	32	1,82696	0,233918			
All Reads	ALL	11	3	118	29	2,35608	0,216895			
All Reads	ALL	12	14	394	33	1,685767	0,084928			
All Reads	ALL	13	38	732	29	1,15387	0,042648			
All Reads	ALL	14	69	1529	31	1,327357	0,033946			
All Reads	ALL	15	139	2718	31	1,171289	0,022467			
All Reads	ALL	16	265	4805	31	1,086117	0,015669			
All Reads	ALL	17	415	7919	30	1,143014	0,012844			
All Reads	ALL	18	825	15979	29	1,160179	0,009178			
All Reads	ALL	19	1343	26509	30	1,182351	0,007262			
All Reads	ALL	20	2087	42462	30	1,218729	0,005914			
All Reads	ALL	21	3066	58457	30	1,142072	0,004724			
All Reads	ALL	22	4735	90647	30	1,146734	0,003809			
All Reads	ALL	23	7216	138753	30	1,151795	0,003092			
All Reads	ALL	24	9519	180721	30	1,137225	0,002675			
All Reads	ALL	25	12175	220059	30	1,082678	0,002308			
All Reads	ALL	26	16011	283833	30	1,061876	0,001993			
All Reads	ALL	27	20290	355745	30	1,050234	0,001761			
All Reads	ALL	28	26239	451437	30	1,030574	0,001534			
All Reads	ALL	29	34142	584835	30	1,026062	0,001342			
All Reads	ALL	30	42965	734068	30	1,023413	0,001194			
All Reads	ALL	31	52238	896513	30	1,028015	0,001086			
All Reads	ALL	32	63055	1086236	30	1,031891	0,00099			
All Reads	ALL	33	77300	1331073	30	1,031458	0,000894			
All Reads	ALL	34	90557	1562669	30	1,033652	0,000827			
All Reads	ALL	35	105249	1823750	30	1,03795	0,000769			
All Reads	ALL	36	121174	2118970	30	1,047477	0,00072			
All Reads	ALL	37	138318	2432472	30	1,053412	0,000675			
All Reads	ALL	38	155837	2748940	30	1,056632	0,000637			
All Reads	ALL	39	174604	3078263	30	1,056041	0,000602			
All Reads	ALL	40	193878	3402820	30	1,051332	0,00057			
All Reads	ALL	41	209876	3668990	30	1,04716	0,000547			
All Reads	ALL	42	224237	3886081	30	1,038087	0,000527			
