## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/D3_gc_bias_PAE.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/D3_gc_bias_PAE_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_D3_result_PAE_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/D3_gc_bias_PAE.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/CP013113.1_PAER4.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:22:55 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	21	0	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	0	0	0	0	0			
All Reads	ALL	13	0	0	0	0	0			
All Reads	ALL	14	0	0	0	0	0			
All Reads	ALL	15	0	0	0	0	0			
All Reads	ALL	16	0	0	0	0	0			
All Reads	ALL	17	0	0	0	0	0			
All Reads	ALL	18	0	0	0	0	0			
All Reads	ALL	19	0	0	0	0	0			
All Reads	ALL	20	0	0	0	0	0			
All Reads	ALL	21	4	4	0	2,821342	1,410671			
All Reads	ALL	22	17	8	0	1,32769	0,469409			
All Reads	ALL	23	40	16	31	1,128537	0,282134			
All Reads	ALL	24	68	51	31	2,116006	0,2963			
All Reads	ALL	25	79	69	29	2,46421	0,296656			
All Reads	ALL	26	110	69	30	1,769751	0,213053			
All Reads	ALL	27	161	102	30	1,787434	0,176982			
All Reads	ALL	28	190	137	30	2,034336	0,173805			
All Reads	ALL	29	291	228	29	2,210536	0,146396			
All Reads	ALL	30	382	258	29	1,905513	0,118632			
All Reads	ALL	31	526	287	28	1,539401	0,090868			
All Reads	ALL	32	666	350	29	1,482687	0,079253			
All Reads	ALL	33	937	445	29	1,339911	0,063518			
All Reads	ALL	34	1344	679	30	1,425365	0,054701			
All Reads	ALL	35	1877	917	28	1,378354	0,045517			
All Reads	ALL	36	2492	1259	27	1,425389	0,040172			
All Reads	ALL	37	2960	1572	29	1,498361	0,037791			
All Reads	ALL	38	3623	1808	28	1,407945	0,033112			
All Reads	ALL	39	4419	2377	27	1,517612	0,031128			
All Reads	ALL	40	5552	2959	25	1,503665	0,027643			
All Reads	ALL	41	6744	3678	29	1,538685	0,025371			
All Reads	ALL	42	7560	4517	25	1,685714	0,025082			
All Reads	ALL	43	8902	5486	22	1,738697	0,023474			
All Reads	ALL	44	10068	6768	19	1,896587	0,023054			
All Reads	ALL	45	11505	8809	17	2,160208	0,023016			
All Reads	ALL	46	13206	9810	18	2,095817	0,02116			
