## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/D3_gc_bias_coli.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/D3_gc_bias_coli_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_D3_result_coli_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/D3_gc_bias_coli.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/NC_000913.3.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:20:05 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	291	33	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	4	46	32	2,011264	0,296545			
All Reads	ALL	13	23	308	31	2,342039	0,13345			
All Reads	ALL	14	30	356	31	2,075391	0,109996			
All Reads	ALL	15	93	1011	30	1,901251	0,059795			
All Reads	ALL	16	149	1531	30	1,79705	0,045927			
All Reads	ALL	17	242	2316	30	1,673765	0,03478			
All Reads	ALL	18	354	3307	31	1,633812	0,028411			
All Reads	ALL	19	618	5535	29	1,566392	0,021054			
All Reads	ALL	20	860	8176	30	1,662699	0,018388			
All Reads	ALL	21	1358	12574	30	1,619366	0,014441			
All Reads	ALL	22	1825	16726	30	1,602878	0,012394			
All Reads	ALL	23	2782	24448	30	1,536942	0,00983			
All Reads	ALL	24	3544	31077	30	1,533616	0,0087			
All Reads	ALL	25	4714	40739	30	1,511444	0,007488			
All Reads	ALL	26	6193	53268	30	1,504307	0,006518			
All Reads	ALL	27	7831	67130	30	1,499238	0,005786			
All Reads	ALL	28	10243	87297	30	1,490539	0,005045			
All Reads	ALL	29	12543	105572	30	1,472036	0,00453			
All Reads	ALL	30	14966	122584	30	1,432515	0,004091			
All Reads	ALL	31	17568	143235	30	1,425929	0,003768			
All Reads	ALL	32	20117	161637	30	1,405234	0,003495			
All Reads	ALL	33	23580	185536	30	1,376118	0,003195			
