## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/D3_gc_bias_metagenome.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/D3_gc_bias_metagenome_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_D3_metagenome_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/D3_gc_bias_metagenome.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/metagenome.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 27 19:25:40 CEST 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	1001	32	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	2	71	30	5,035215	0,59757			
All Reads	ALL	11	3	117	28	5,531645	0,511401			
All Reads	ALL	12	18	487	30	3,83748	0,173893			
All Reads	ALL	13	61	1077	29	2,504238	0,076308			
All Reads	ALL	14	99	1999	30	2,863962	0,064056			
All Reads	ALL	15	232	4163	30	2,545119	0,039446			
All Reads	ALL	16	414	8106	30	2,777128	0,030846			
All Reads	ALL	17	657	13483	29	2,91079	0,025068			
All Reads	ALL	18	1179	26065	29	3,135694	0,019422			
All Reads	ALL	19	1961	42453	29	3,07058	0,014903			
All Reads	ALL	20	2947	68033	29	3,274381	0,012554			
All Reads	ALL	21	4428	97145	30	3,111734	0,009984			
All Reads	ALL	22	6577	149913	30	3,232966	0,00835			
All Reads	ALL	23	10038	229855	30	3,247854	0,006774			
All Reads	ALL	24	13131	295683	30	3,193877	0,005874			
All Reads	ALL	25	16968	366625	30	3,064652	0,005061			
All Reads	ALL	26	22322	468780	30	2,978692	0,004351			
All Reads	ALL	27	28292	587744	30	2,946553	0,003843			
All Reads	ALL	28	36690	742600	30	2,87076	0,003331			
All Reads	ALL	29	47001	952030	30	2,872984	0,002944			
All Reads	ALL	30	58328	1175717	30	2,859008	0,002637			
All Reads	ALL	31	70344	1425021	29	2,873319	0,002407			
All Reads	ALL	32	83849	1706767	29	2,887128	0,00221			
All Reads	ALL	33	101838	2073910	29	2,888482	0,002006			
All Reads	ALL	34	119577	2420988	29	2,871671	0,001846			
All Reads	ALL	35	138734	2804461	29	2,867188	0,001712			
All Reads	ALL	36	159611	3234130	29	2,873984	0,001598			
All Reads	ALL	37	181203	3671329	29	2,873741	0,0015			
All Reads	ALL	38	205339	4148397	29	2,865488	0,001407			
All Reads	ALL	39	232452	4649265	29	2,836878	0,001316			
All Reads	ALL	40	262352	5161443	29	2,790464	0,001228			
