## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/D3_gc_bias_subtilis.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/D3_gc_bias_subtilis_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_D3_result_subtilis_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/D3_gc_bias_subtilis.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/NC_000964.3.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:20:42 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	675	32	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	2	71	30	1,515178	0,179819			
All Reads	ALL	11	3	117	28	1,664562	0,153889			
All Reads	ALL	12	14	441	30	1,344454	0,064022			
All Reads	ALL	13	38	769	28	0,86373	0,031147			
All Reads	ALL	14	69	1643	29	1,016304	0,025073			
All Reads	ALL	15	139	3152	30	0,967847	0,017239			
All Reads	ALL	16	265	6575	30	1,058974	0,01306			
All Reads	ALL	17	415	11167	29	1,148481	0,010868			
All Reads	ALL	18	825	22758	29	1,177377	0,007805			
All Reads	ALL	19	1343	36919	29	1,1733	0,006106			
All Reads	ALL	20	2087	59857	29	1,224131	0,005003			
All Reads	ALL	21	3066	84567	30	1,177238	0,004048			
All Reads	ALL	22	4735	133179	30	1,200469	0,00329			
All Reads	ALL	23	7216	205392	30	1,214849	0,002681			
All Reads	ALL	24	9519	264554	30	1,186201	0,002306			
All Reads	ALL	25	12175	325813	30	1,142181	0,002001			
All Reads	ALL	26	16011	415438	30	1,107447	0,001718			
All Reads	ALL	27	20290	520503	30	1,094905	0,001518			
All Reads	ALL	28	26239	655149	30	1,065683	0,001317			
All Reads	ALL	29	34142	846213	29	1,057855	0,00115			
All Reads	ALL	30	42965	1052860	30	1,045902	0,001019			
All Reads	ALL	31	52238	1281498	29	1,047048	0,000925			
All Reads	ALL	32	63055	1544769	29	1,045633	0,000841			
All Reads	ALL	33	77300	1887915	29	1,042409	0,000759			
All Reads	ALL	34	90557	2206374	29	1,039902	0,0007			
All Reads	ALL	35	105249	2562798	29	1,039278	0,000649			
All Reads	ALL	36	121174	2965348	29	1,044483	0,000607			
All Reads	ALL	37	138318	3381724	29	1,043506	0,000567			
All Reads	ALL	38	155837	3821100	29	1,046534	0,000535			
