## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/F2_gc_bias_PAE.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/F2_gc_bias_PAE_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_F2_result_PAE_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/F2_gc_bias_PAE.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/CP013113.1_PAER4.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:17:21 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	42	32	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	0	0	0	0	0			
All Reads	ALL	13	0	0	0	0	0			
All Reads	ALL	14	0	0	0	0	0			
All Reads	ALL	15	0	0	0	0	0			
All Reads	ALL	16	0	0	0	0	0			
All Reads	ALL	17	0	0	0	0	0			
All Reads	ALL	18	0	0	0	0	0			
All Reads	ALL	19	0	0	0	0	0			
All Reads	ALL	20	0	0	0	0	0			
All Reads	ALL	21	4	4	0	1,951261	0,975631			
All Reads	ALL	22	17	17	22	1,951261	0,47325			
All Reads	ALL	23	40	14	22	0,682941	0,182524			
All Reads	ALL	24	68	42	22	1,205191	0,185965			
All Reads	ALL	25	79	61	22	1,50667	0,192909			
All Reads	ALL	26	110	68	27	1,206234	0,146277			
All Reads	ALL	27	161	120	24	1,454356	0,132764			
All Reads	ALL	28	190	140	23	1,437771	0,121514			
All Reads	ALL	29	291	235	23	1,575761	0,102791			
All Reads	ALL	30	382	277	25	1,41492	0,085014			
All Reads	ALL	31	526	366	24	1,357722	0,070969			
All Reads	ALL	32	666	461	26	1,350648	0,062906			
All Reads	ALL	33	937	574	25	1,19533	0,049892			
All Reads	ALL	34	1344	985	25	1,430054	0,045565			
All Reads	ALL	35	1877	1330	25	1,38262	0,037912			
All Reads	ALL	36	2492	2102	25	1,645887	0,035899			
All Reads	ALL	37	2960	2559	26	1,686918	0,033347			
All Reads	ALL	38	3623	3000	25	1,615728	0,029499			
All Reads	ALL	39	4419	3916	25	1,729156	0,027632			
All Reads	ALL	40	5552	5074	25	1,783267	0,025035			
All Reads	ALL	41	6744	6865	26	1,98627	0,023973			
All Reads	ALL	42	7560	7554	25	1,949712	0,022433			
All Reads	ALL	43	8902	9248	25	2,027102	0,021079			
All Reads	ALL	44	10068	10766	24	2,086539	0,020109			
All Reads	ALL	45	11505	12857	24	2,180562	0,019231			
All Reads	ALL	46	13206	14694	24	2,171121	0,017911			
All Reads	ALL	47	14983	16669	23	2,170832	0,016814			
All Reads	ALL	48	16989	18801	23	2,159377	0,015748			
All Reads	ALL	49	19460	21811	22	2,186997	0,014808			
All Reads	ALL	50	22696	25937	21	2,229902	0,013846			
All Reads	ALL	51	26710	28585	22	2,088237	0,012351			
All Reads	ALL	52	32427	33814	21	2,034722	0,011065			
All Reads	ALL	53	38961	39402	21	1,973347	0,009941			
All Reads	ALL	54	46945	46102	22	1,916222	0,008925			
All Reads	ALL	55	56924	52736	22	1,807703	0,007872			
All Reads	ALL	56	69051	59235	24	1,673878	0,006878			
All Reads	ALL	57	87025	70064	23	1,570964	0,005935			
All Reads	ALL	58	110173	81278	24	1,439505	0,005049			
All Reads	ALL	59	140214	96530	25	1,343341	0,004324			
All Reads	ALL	60	177619	114987	26	1,263208	0,003725			
All Reads	ALL	61	220968	136063	27	1,201506	0,003257			
All Reads	ALL	62	271409	159492	27	1,146648	0,002871			
All Reads	ALL	63	323825	182862	27	1,101865	0,002577			
All Reads	ALL	64	371789	199230	27	1,045619	0,002343			
All Reads	ALL	65	415909	213671	27	1,00245	0,002169			
All Reads	ALL	66	451287	223295	27	0,965476	0,002043			
All Reads	ALL	67	473045	224658	27	0,926691	0,001955			
All Reads	ALL	68	475358	216894	27	0,890312	0,001912			
All Reads	ALL	69	458482	200419	27	0,852967	0,001905			
All Reads	ALL	70	428292	178880	27	0,814962	0,001927			
All Reads	ALL	71	384663	154323	27	0,782827	0,001993			
All Reads	ALL	72	329437	126599	27	0,749848	0,002107			
All Reads	ALL	73	272625	101482	27	0,726338	0,00228			
All Reads	ALL	74	215184	76396	27	0,692749	0,002506			
All Reads	ALL	75	161122	54442	27	0,659318	0,002826			
All Reads	ALL	76	114325	37582	27	0,641437	0,003309			
All Reads	ALL	77	76813	24012	27	0,609971	0,003936			
