## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/F2_gc_bias_coli.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/F2_gc_bias_coli_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_F2_result_coli_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/F2_gc_bias_coli.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/NC_000913.3.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:15:57 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	49	24	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	4	2	0	0,204002	0,144251			
All Reads	ALL	13	23	8	22	0,141915	0,050174			
All Reads	ALL	14	30	24	26	0,326404	0,066627			
All Reads	ALL	15	93	94	23	0,412392	0,042535			
All Reads	ALL	16	149	136	24	0,372407	0,031934			
All Reads	ALL	17	242	211	25	0,355739	0,02449			
All Reads	ALL	18	354	375	24	0,432208	0,022319			
All Reads	ALL	19	618	770	24	0,508355	0,01832			
All Reads	ALL	20	860	1012	24	0,480117	0,015092			
All Reads	ALL	21	1358	1497	24	0,449766	0,011625			
All Reads	ALL	22	1825	2003	24	0,447799	0,010006			
All Reads	ALL	23	2782	3064	25	0,449362	0,008118			
All Reads	ALL	24	3544	3769	24	0,433908	0,007068			
All Reads	ALL	25	4714	5146	24	0,445395	0,006209			
All Reads	ALL	26	6193	7189	24	0,473622	0,005586			
All Reads	ALL	27	7831	8839	25	0,460522	0,004898			
