## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/F2_gc_bias_kc.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/F2_gc_bias_kc_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_F2_result_kocuria_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/F2_gc_bias_kocuria.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/Kocuria_rhizophila_ATCC_9341.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:17:27 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	47	27	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	0	0	0	0	0			
All Reads	ALL	13	0	0	0	0	0			
All Reads	ALL	14	0	0	0	0	0			
All Reads	ALL	15	0	0	0	0	0			
All Reads	ALL	16	0	0	0	0	0			
All Reads	ALL	17	0	0	0	0	0			
All Reads	ALL	18	0	0	0	0	0			
All Reads	ALL	19	0	0	0	0	0			
All Reads	ALL	20	0	0	0	0	0			
All Reads	ALL	21	0	0	0	0	0			
All Reads	ALL	22	0	0	0	0	0			
All Reads	ALL	23	0	0	0	0	0			
All Reads	ALL	24	0	0	0	0	0			
All Reads	ALL	25	0	0	0	0	0			
All Reads	ALL	26	8	21	27	2,77653	0,605889			
All Reads	ALL	27	10	26	27	2,750087	0,539336			
All Reads	ALL	28	18	47	25	2,761839	0,402856			
All Reads	ALL	29	25	58	26	2,453924	0,322216			
All Reads	ALL	30	15	34	24	2,397512	0,41117			
All Reads	ALL	31	12	17	23	1,498445	0,363426			
All Reads	ALL	32	11	13	27	1,250039	0,346699			
All Reads	ALL	33	21	36	25	1,813244	0,302207			
All Reads	ALL	34	27	35	25	1,371126	0,231763			
All Reads	ALL	35	63	110	23	1,846823	0,176088			
All Reads	ALL	36	109	200	23	1,940781	0,137234			
All Reads	ALL	37	168	316	26	1,989532	0,11192			
All Reads	ALL	38	212	418	26	2,085516	0,102006			
All Reads	ALL	39	230	432	24	1,986685	0,095584			
All Reads	ALL	40	256	475	25	1,962577	0,090049			
All Reads	ALL	41	348	670	25	2,036426	0,078674			
All Reads	ALL	42	457	937	26	2,168685	0,070848			
All Reads	ALL	43	530	1035	27	2,065559	0,064205			
All Reads	ALL	44	583	1015	26	1,841495	0,057801			
All Reads	ALL	45	647	1234	26	2,017362	0,057428			
All Reads	ALL	46	790	1416	26	1,895873	0,050382			
All Reads	ALL	47	996	1844	23	1,958279	0,045603			
All Reads	ALL	48	1254	2694	20	2,272339	0,04378			
All Reads	ALL	49	1711	3495	21	2,160579	0,036547			
All Reads	ALL	50	2182	4774	20	2,314199	0,033493			
All Reads	ALL	51	2944	8912	20	3,20192	0,033917			
All Reads	ALL	52	3939	10867	19	2,918077	0,027993			
All Reads	ALL	53	4874	12951	20	2,810547	0,024697			
All Reads	ALL	54	5808	13736	19	2,501536	0,021344			
All Reads	ALL	55	7226	16528	20	2,419332	0,018819			
All Reads	ALL	56	9018	20423	21	2,395424	0,016762			
All Reads	ALL	57	11923	24471	21	2,170897	0,013878			
